experiment_run_id,contract_hash,data_snapshot_id,experiment_model_version,track,policy,period_slice,source_opportunities,retained_or_admitted,coverage,source_net_payoff_bps,policy_net_payoff_bps,veto_value_bps,losses_avoided_bps,profits_mistakenly_rejected_bps,net_negative_veto_value_bps,mean_bars_consumed
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,delayed_admit_after_resolution,2023,854,0,0,8572.02715218,0,-8572.02715218,102512.460751,111084.487904,-8572.02715218,6.13114754098
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,delayed_admit_after_resolution,2025,809,0,0,15099.7365112,0,-15099.7365112,90102.6497724,105202.386284,-15099.7365112,6.38566131026
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,full_sequential_conservative_veto,2023,854,0,0,8572.02715218,0,-8572.02715218,102512.460751,111084.487904,-8572.02715218,6.13114754098
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,full_sequential_conservative_veto,2025,809,0,0,15099.7365112,0,-15099.7365112,90102.6497724,105202.386284,-15099.7365112,6.38566131026
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,sequential_good_to_bad_odds_veto,2023,854,850,0.995316159251,8572.02715218,7787.37471319,-784.652438993,214.148196683,998.800635676,-784.652438993,6.13114754098
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,sequential_good_to_bad_odds_veto,2025,809,802,0.991347342398,15099.7365112,17022.891062,1923.15455084,2812.84317204,889.6886212,1923.15455084,6.38566131026
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,static_anchor_good_to_bad_odds_veto,2023,854,852,0.997658079625,8572.02715218,8347.31606431,-224.711087873,292.285714286,516.996802159,-224.711087873,6.13114754098
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,static_anchor_good_to_bad_odds_veto,2025,809,808,0.998763906057,15099.7365112,15152.2266082,52.4900970227,52.4900970227,0,52.4900970227,6.38566131026
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,bad_mass_veto,all,1663,1663,1,23671.7636634,23671.7636634,0,-0,0,-0,6.25496091401
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,base_no_rejection,all,1663,1663,1,23671.7636634,23671.7636634,0,-0,0,-0,6.25496091401
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,delayed_admit_after_resolution,all,1663,0,0,23671.7636634,0,-23671.7636634,192615.110524,216286.874187,-23671.7636634,6.25496091401
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,full_sequential_conservative_veto,all,1663,0,0,23671.7636634,0,-23671.7636634,192615.110524,216286.874187,-23671.7636634,6.25496091401
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,sequential_good_to_bad_odds_veto,all,1663,1652,0.993385447986,23671.7636634,24810.2657752,1138.50211184,3026.99136872,1888.48925688,1138.50211184,6.25496091401
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,static_anchor_good_to_bad_odds_veto,all,1663,1660,0.998196031269,23671.7636634,23499.5426725,-172.220990851,344.775811308,516.996802159,-172.220990851,6.25496091401
