period,dimension,omitted,remaining_rows,remaining_sessions,down_rate_spread,up_rate_spread,mean_aligned_return,omitted_acted_share
assessment,checkpoint,10,413,125,0.041379310344827586,-0.2149425287356322,-0.002574210544582928,0.0
assessment,checkpoint,12,416,126,0.041379310344827586,-0.2149425287356322,-0.002574210544582928,0.0
assessment,checkpoint,14,387,126,0.013377926421404701,-0.20066889632107027,-0.0029803264657005503,0.1694915254237288
assessment,checkpoint,16,416,126,0.03448275862068967,-0.20689655172413793,-0.0025180588250186984,0.01694915254237288
assessment,checkpoint,18,415,126,0.03448275862068967,-0.2413793103448276,-0.0031549899509559563,0.01694915254237288
assessment,checkpoint,20,409,126,0.04907161803713528,-0.1790450928381963,-0.002369880915417329,0.06779661016949153
assessment,checkpoint,22,414,126,0.04999999999999999,-0.23095238095238096,-0.0025766951017532577,0.01694915254237288
assessment,checkpoint,24,416,126,0.06896551724137931,-0.20689655172413793,-0.0024279980491122015,0.01694915254237288
assessment,checkpoint,30,416,126,0.041379310344827586,-0.2149425287356322,-0.002574210544582928,0.0
assessment,checkpoint,6,57,39,0.04999999999999999,-0.11666666666666667,-0.0006535745523657794,0.6779661016949152
assessment,checkpoint,8,411,125,0.03448275862068967,-0.20689655172413793,-0.0026731475774791867,0.01694915254237288
stress,stock,AAL,494,67,-0.02573529411764708,0.00919117647058823,0.00034611614693512953,0.05714285714285714
stress,stock,AAOI,510,67,0.007575757575757569,0.04292929292929293,0.0003685290596061506,0.014285714285714285
stress,stock,APLD,513,67,-0.0060606060606061,0.04848484848484849,0.0004211909577137709,0.02857142857142857
stress,stock,ASTS,505,67,0.012477718360071333,0.08467023172905525,0.0007840182758540652,0.04285714285714286
stress,stock,CIFR,478,67,-0.041666666666666685,0.03819444444444445,-0.00022119729444581643,0.02857142857142857
stress,stock,HIMS,509,67,-0.016806722689075626,0.05294117647058824,0.00030084254217089336,0.014285714285714285
stress,stock,IONQ,502,67,0.008928571428571452,0.04642857142857143,0.0004903205094645251,0.04285714285714286
stress,stock,IREN,474,67,-0.04117647058823526,0.07254901960784313,-0.00032370588141101447,0.08571428571428572
stress,stock,MARA,503,67,-0.004901960784313764,0.04738562091503268,0.00037745101932043084,0.0
stress,stock,MP,469,67,0.03160919540229884,0.05651340996168583,0.00027318149885394643,0.07142857142857142
stress,stock,MRNA,513,67,0.024242424242424232,0.04848484848484849,0.00048488460594873367,0.02857142857142857
stress,stock,MSTR,516,67,-0.022727272727272763,0.04292929292929293,0.0002921511447267672,0.014285714285714285
stress,stock,NVTS,472,67,0.03700189753320687,0.044592030360531304,0.0009248755668902397,0.07142857142857142
stress,stock,QBTS,494,66,0.0,0.03125,0.0003697969968246721,0.08571428571428572
stress,stock,RGTI,513,67,-0.02941176470588236,0.02941176470588236,-7.989640896022438e-05,0.02857142857142857
stress,stock,RIOT,508,67,0.0,0.05882352941176469,0.0008426593676603061,0.02857142857142857
stress,stock,RIVN,497,67,0.013257575757575746,0.05587121212121213,0.00040508462397305487,0.07142857142857142
stress,stock,SMCI,522,67,-0.016806722689075626,0.05294117647058824,0.0003717133166371087,0.014285714285714285
stress,stock,SOFI,498,67,-0.050403225806451624,0.05745967741935484,0.0007899014160770865,0.1
stress,stock,WULF,485,67,0.02619047619047621,0.021428571428571436,0.0003450551335114407,0.17142857142857143
stress,month,2025-09,409,51,-0.08518518518518514,0.014814814814814808,-0.0009724332640582236,0.18571428571428572
stress,month,2025-10,394,48,-0.07444168734491319,-0.045905707196029766,-2.750249156592369e-05,0.18571428571428572
stress,month,2025-11,354,52,0.11904761904761907,0.047619047619047616,0.0022484139973812448,0.5
stress,month,2025-12,418,50,0.0326797385620915,0.1318082788671024,0.0009437141347462837,0.12857142857142856
stress,checkpoint,10,521,67,0.020833333333333315,0.03819444444444445,0.0004484451919801125,0.02857142857142857
stress,checkpoint,12,524,67,-0.004901960784313764,0.04738562091503268,0.00037745101932043084,0.0
stress,checkpoint,14,491,67,-0.07661290322580644,0.03729838709677419,0.00024872628739972,0.1
