period,dimension,value,acted_rows,acted_share,sessions,stocks,mean_aligned_return,down_rate,up_rate
assessment,session,2025-07-17,2,0.03389830508474576,1,1,0.0008071741065427069,0.0,0.0
assessment,session,2025-07-22,2,0.03389830508474576,1,2,-0.02176437897758317,0.0,1.0
assessment,session,2025-07-28,2,0.03389830508474576,1,2,-0.00030888174387524276,0.0,0.0
assessment,session,2025-07-30,1,0.01694915254237288,1,1,-0.0011500863832373297,0.0,0.0
assessment,session,2025-08-01,2,0.03389830508474576,1,2,-0.016751439244623696,0.0,1.0
assessment,session,2025-08-07,1,0.01694915254237288,1,1,-0.003421145998471171,0.0,0.0
assessment,session,2025-08-12,1,0.01694915254237288,1,1,0.021950289568299402,0.0,1.0
assessment,session,2025-08-14,1,0.01694915254237288,1,1,0.0006760392738745836,0.0,0.0
assessment,session,2025-08-15,1,0.01694915254237288,1,1,-0.04359511413989393,0.0,1.0
assessment,session,2025-08-18,1,0.01694915254237288,1,1,0.03111099502505273,0.0,1.0
assessment,session,2025-08-20,2,0.03389830508474576,1,2,-0.005021730831539249,0.0,0.5
assessment,session,2025-08-22,1,0.01694915254237288,1,1,0.003164137363400081,0.0,0.0
assessment,checkpoint,6,40,0.6779661016949152,30,18,-0.003486512640886075,0.225,0.425
assessment,checkpoint,8,1,0.01694915254237288,1,1,0.003164137363400081,0.0,0.0
assessment,checkpoint,14,10,0.1694915254237288,9,7,-0.0005842425311065801,0.2,0.2
assessment,checkpoint,16,1,0.01694915254237288,1,1,-0.005831010279308274,0.0,0.0
assessment,checkpoint,18,1,0.01694915254237288,1,1,0.03111099502505273,0.0,1.0
assessment,checkpoint,20,4,0.06779661016949153,4,4,-0.005383742945609918,0.25,0.0
assessment,checkpoint,22,1,0.01694915254237288,1,1,-0.002430106228703802,0.0,0.0
assessment,checkpoint,24,1,0.01694915254237288,1,1,-0.011054535281885072,1.0,0.0
assessment,time_of_day,14:00:00+0000,25,0.423728813559322,21,15,-0.004907726042245414,0.16,0.4
assessment,time_of_day,14:10:00+0000,1,0.01694915254237288,1,1,0.003164137363400081,0.0,0.0
assessment,time_of_day,14:40:00+0000,7,0.11864406779661017,6,6,-0.003194289925510879,0.2857142857142857,0.14285714285714285
assessment,time_of_day,14:50:00+0000,1,0.01694915254237288,1,1,-0.005831010279308274,0.0,0.0
assessment,time_of_day,15:00:00+0000,16,0.2711864406779661,10,11,0.0008964775278590695,0.3125,0.5
assessment,time_of_day,15:10:00+0000,2,0.03389830508474576,2,2,-0.0062023786701728215,0.5,0.0
assessment,time_of_day,15:30:00+0000,1,0.01694915254237288,1,1,-0.011054535281885072,1.0,0.0
assessment,time_of_day,15:40:00+0000,3,0.05084745762711865,3,2,0.0055058680558367845,0.0,0.3333333333333333
assessment,time_of_day,16:10:00+0000,2,0.03389830508474576,2,2,-0.004565107221047016,0.0,0.0
assessment,time_of_day,16:20:00+0000,1,0.01694915254237288,1,1,-0.002430106228703802,0.0,0.0
stress,stock,AAL,4,0.05714285714285714,3,1,0.0008944764136779018,0.25,0.5
stress,stock,AAOI,1,0.014285714285714285,1,1,0.0009930662396057705,0.0,0.0
stress,stock,APLD,2,0.02857142857142857,2,1,-0.0011097068860531235,1.0,0.0
stress,stock,ASTS,3,0.04285714285714286,3,1,-0.008702551043264074,0.3333333333333333,0.3333333333333333
stress,stock,CIFR,2,0.02857142857142857,2,1,0.020731493687372843,1.0,0.0
stress,stock,HIMS,1,0.014285714285714285,1,1,0.005663435942638513,0.0,0.0
stress,stock,IONQ,3,0.04285714285714286,3,1,-0.002143300927231005,0.0,0.6666666666666666
stress,stock,IREN,6,0.08571428571428572,6,1,0.007856457960455848,0.3333333333333333,0.16666666666666666
stress,stock,MP,5,0.07142857142857142,4,1,0.0017329547853847213,0.2,0.2
stress,stock,MRNA,2,0.02857142857142857,2,1,-0.0032752909260418735,0.5,0.0
stress,stock,MSTR,1,0.014285714285714285,1,1,0.006263142366283195,1.0,0.0
stress,stock,NVTS,5,0.07142857142857142,5,1,-0.006739068099087085,0.6,0.0
stress,stock,QBTS,6,0.08571428571428572,6,1,0.00045909392594185573,0.5,0.5
stress,stock,RGTI,2,0.02857142857142857,2,1,0.01592726358086271,0.0,0.5
stress,stock,RIOT,2,0.02857142857142857,2,1,-0.015439632824235328,0.5,0.0
stress,stock,RIVN,5,0.07142857142857142,5,1,1.821415883631189e-05,0.2,0.0
stress,stock,SMCI,1,0.014285714285714285,1,1,0.0007733525044696342,0.0,0.0
stress,stock,SOFI,7,0.1,6,1,-0.0033346025514894746,0.42857142857142855,0.0
stress,stock,WULF,12,0.17142857142857143,9,1,0.0005340311340638814,0.5833333333333334,0.08333333333333333
stress,month,2025-09,13,0.18571428571428572,9,10,0.006296174415672992,0.15384615384615385,0.3076923076923077
stress,month,2025-10,13,0.18571428571428572,8,9,0.0021530164132067546,0.38461538461538464,0.3076923076923077
stress,month,2025-11,35,0.5,9,13,-0.0014935119587403828,0.5428571428571428,0.02857142857142857
stress,month,2025-12,9,0.12857142857142856,6,7,-0.003460554540788131,0.3333333333333333,0.3333333333333333
stress,session,2025-09-03,1,0.014285714285714285,1,1,0.005663435942638513,0.0,0.0
stress,session,2025-09-05,3,0.04285714285714286,1,3,-0.003925405483444774,0.3333333333333333,0.0
