signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
short__compatibility_entropy_bin__concentrated__opening_range_position_bin__above_range__prior_completed_dwell_bin__missing__3c8275c692,SHORT,three_condition,3,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""above_range""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""missing""}]"
short__compatibility_entropy_bin__concentrated__opening_range_position_bin__below_range__a2d3f36f00,SHORT,pairwise,2,95,74,18,3.74877722041,0.0334893983425,0.682356050604,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""below_range""}]"
short__compatibility_entropy_bin__concentrated__previous_state__1.0__rolling_high_low_location_bin__middle__f4ab396413,SHORT,three_condition,3,2,2,2,-3.37897196014,0.0387525562372,1,1,-1.19663919741,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":1.0},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""middle""}]"
short__compatibility_entropy_bin__concentrated__session_return_bin__minus_one_to_zero__state_age_bin__2_3__cc6a0cf48c,SHORT,three_condition,3,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""2_3""}]"
short__compatibility_entropy_bin__concentrated__state_age_bin__7_plus__6001706692,SHORT,pairwise,2,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""7_plus""}]"
short__compatibility_entropy_bin__concentrated__state_motif_2__2gt5__097169732e,SHORT,pairwise,2,28,25,15,-52.3021605098,-0.10410458662,1,1,-0.430222027461,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""2>5""}]"
short__compatibility_entropy_bin__concentrated__state_motif_2__5gt4__42e6d177ec,SHORT,pairwise,2,1,1,1,-153.485651214,-0.461247443763,1,1,-3.00879345603,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""5>4""}]"
short__compatibility_entropy_bin__diffuse__c7737c0261,SHORT,univariate,1,217,144,20,-1.75790815557,-0.0050262456061,0.797757418807,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""}]"
short__compatibility_entropy_bin__diffuse__current_state__1.0__scheduled_bars_remaining_bin__65__6544a9a37d,SHORT,three_condition,3,60,50,16,-16.1552102258,-0.0445807770961,1,1,-0.508793456033,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""structural_state"",""feature"":""current_state"",""operator"":""=="",""value"":1.0},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""65""}]"
short__compatibility_entropy_bin__diffuse__departure_probability_bin__middle__27689fbb8d,SHORT,pairwise,2,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""middle""}]"
short__compatibility_entropy_bin__diffuse__return_3_bin__above_plus_one_scale__4d072e31ca,SHORT,pairwise,2,43,39,16,7.30165037598,0.0271246492605,1,1,-0.3,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""price_displacement"",""feature"":""return_3_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]"
short__compatibility_entropy_bin__diffuse__state_age_bin__7_plus__09f1a388ec,SHORT,pairwise,2,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""7_plus""}]"
short__compatibility_entropy_bin__diffuse__state_motif_2__1gt2__7dc706c24a,SHORT,pairwise,2,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""1>2""}]"
