signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__clock_phase__opening__historical_activity_bin__middle__return_6_cross_sectional_rank_bin__bottom_20__420a25e8c1,LONG,three_condition,3,392,203,20,-16.9398415638,-0.0202881766203,0.709124100474,0.999955450325,-0.468344392972,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""middle""},{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""}]"
long__clock_phase__opening__opening_range_position_bin__above_range__return_1_bin__below_minus_one_scale__8f1e28c50d,LONG,three_condition,3,12,8,9,86.2687386739,0.0587934560327,1,1,-0.748302002573,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""above_range""},{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
long__clock_phase__opening__opening_range_position_bin__below_range__top_second_margin_bin__high__dde160e4e6,LONG,three_condition,3,35,28,13,-15.0489099245,-0.0697779725387,1,1,-0.45,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""below_range""},{""family"":""loop"",""feature"":""top_second_margin_bin"",""operator"":""=="",""value"":""high""}]"
long__clock_phase__opening__return_6_bin__below_minus_one_scale__universe_breadth_bin__weak__9402e3442c,LONG,three_condition,3,808,93,20,4.25557249985,0.0204271193991,0.302206632152,0.999955450325,-0.333397127804,False,False,"[""chronology_not_consistent"",""fdr_not_passed""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""},{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""below_minus_one_scale""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""weak""}]"
long__clock_phase__opening__session_return_bin__below_minus_one_scale__universe_breadth_bin__weak__71f11fa34a,LONG,three_condition,3,959,91,20,1.2166710198,0.0123909534258,0.480302684558,0.999955450325,-0.426438383603,False,False,"[""chronology_not_consistent"",""fdr_not_passed""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""},{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""below_minus_one_scale""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""weak""}]"
long__clock_phase__opening__state_motif_2__5gt6__typical_price_distance_bin__minus_one_to_zero__ad826453a3,LONG,three_condition,3,129,86,19,-32.2982823926,-0.0536096447425,0.846432533419,0.999955450325,-0.484876587245,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""5>6""},{""family"":""price_location"",""feature"":""typical_price_distance_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__close_location_bin__high__return_1_bin__above_plus_one_scale__rolling_high_low_location_bin__middle__e6244bb4a9,LONG,three_condition,3,101,73,20,4.04932327135,-0.0154639697099,0.609965707216,0.999955450325,-0.415339499594,False,False,"[""fdr_not_passed"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""above_plus_one_scale""},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""middle""}]"
long__close_location_bin__high__return_1_bin__below_minus_one_scale__return_6_cross_sectional_rank_bin__bottom_20__8666268b5c,LONG,three_condition,3,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""below_minus_one_scale""},{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""}]"
long__close_location_bin__high__return_6_cross_sectional_rank_bin__middle_60__universe_breadth_bin__mixed__1d66ed62d8,LONG,three_condition,3,461,95,20,-28.2932555345,-0.0377358281321,0.868546760867,0.999955450325,-0.497718904143,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""middle_60""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""mixed""}]"
long__close_location_bin__high__rolling_high_low_location_bin__high__stock_vs_market_return_bin__zero_to_plus_one__ff818c1ccb,LONG,three_condition,3,515,193,20,-9.45669069193,0.00733714535311,0.558397350824,0.999955450325,-0.45,False,False,"[""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
