model_id,period,rows,brier_long,brier_short,macro_brier,log_loss,ece_long,ece_short,calibration_slope_long,calibration_slope_short,directional_precision,directional_recall,false_direction_rate,auc_long,auc_short
one_bar_momentum,2025,9815,0.499541518085,0.496179317371,0.497860417728,15.2836284909,0.499541518085,0.496179317371,0.00084352123561,-7.54259906268e-05,0.454384503228,0.490390019108,0.4425878757,0.502905930424,0.49973716956
one_bar_momentum,2026,4501,0.499444567874,0.49766718507,0.498555876472,15.3164624937,0.499444567874,0.49766718507,0.000350297384372,-0.000426272249806,0.45189701897,0.492614475628,0.442790491002,0.50120503647,0.498531584074
one_bar_reversal,2024,9780,0.494580777096,0.490388548057,0.492484662577,15.4315580097,0.494580777096,0.490388548057,0.00139382724992,0.0019406428062,0.456831068792,0.48379786993,0.426482617587,0.504812464021,0.50666381022
one_bar_reversal,2025,9815,0.497707590423,0.501884870097,0.49979623026,15.3371169679,0.497707590423,0.501884870097,-0.000669186252327,8.12954567452e-05,0.452405748802,0.488254467798,0.444523688232,0.497708439698,0.500281808802
one_bar_reversal,2026,4501,0.501666296379,0.499000222173,0.500333259276,15.3655733955,0.501666296379,0.499000222173,-0.000946679678314,0.00075092021586,0.450090334237,0.490645002462,0.444567873806,0.496744044152,0.502591789831
opening_range_position_sign,2024,9780,0.484662576687,0.493762781186,0.489212678937,14.869331711,0.484662576687,0.493762781186,0.00378505033344,0.00228299556117,0.46199488491,0.511670065715,0.440286298569,0.513053148711,0.507869462635
opening_range_position_sign,2025,9815,0.503005603668,0.50504330107,0.504024452369,15.218879282,0.503005603668,0.50504330107,-0.00137945599952,-0.00102823050197,0.449210392257,0.495560301225,0.457259296994,0.495243076218,0.496454519683
opening_range_position_sign,2026,4501,0.484114641191,0.490335481004,0.487225061098,14.8130757504,0.484114641191,0.490335481004,0.0041371229849,0.00405564587835,0.464,0.514032496307,0.438347033992,0.514238566714,0.513946177872
prior_static_price_context_multinomial,2024,9780,0.245994060188,0.247824163771,0.24690911198,0.942105807665,0.00290137650413,0.00324912719159,1.00641748461,0.996657236961,0.469529652352,0.52028098799,0.432924335378,0.5248040676,0.525997204951
prior_static_price_context_multinomial,2025,9815,0.248113033792,0.248875332176,0.248494182984,0.94070301032,0.0123302153294,0.00780554150261,0.045487066974,-0.146979203576,0.451961283749,0.498595032033,0.454508405502,0.50126874223,0.494981510011
prior_static_price_context_multinomial,2026,4501,0.251243424697,0.24749852534,0.249370975019,0.951213826194,0.0337277200628,0.0332666562283,-0.641290446814,-0.447014918981,0.436569651189,0.483751846381,0.465896467452,0.48794547522,0.490847380538
shallow_logistic_compact_features,2024,9780,0.240511461225,0.242693156704,0.241602308965,0.92001322403,0.00784395382705,0.00732994363757,1.21220985846,1.20922221944,0.510435850215,0.565261726717,0.3918200409,0.588480724806,0.585722259066
shallow_logistic_compact_features,2025,9815,0.252504921004,0.253018085539,0.252761503272,0.947729302411,0.0444096393368,0.0415635633974,-0.00212982414734,-0.0589383252176,0.446494088871,0.49241317298,0.459908303617,0.50089499202,0.495334566139
shallow_logistic_compact_features,2026,4501,0.253718693467,0.249891650384,0.251805171925,0.95709363705,0.0564644491254,0.0591843522406,0.079795671528,0.0572014807069,0.443901355254,0.491875923191,0.458564763386,0.504259525592,0.504424668341
