period,decision_clock,state_motif_2,state_motif_3,state_motif_4,rows
2024,clock_12,2>4,6>2>4,4>6>2>4,3
2024,clock_12,2>4,6>2>4,5>6>2>4,1
2024,clock_12,2>4,6>2>4,,13
2024,clock_12,2>5,4>2>5,2>4>2>5,1
2024,clock_12,2>5,4>2>5,5>4>2>5,1
2024,clock_12,2>5,4>2>5,6>4>2>5,2
2024,clock_12,2>5,5>2>5,4>5>2>5,1
2024,clock_12,2>5,5>2>5,6>5>2>5,7
2024,clock_12,2>5,5>2>5,7>5>2>5,1
2024,clock_12,2>5,5>2>5,,4
2024,clock_12,2>5,6>2>5,,3
2024,clock_12,2>6,0>2>6,,1
2024,clock_12,2>6,3>2>6,5>3>2>6,1
2024,clock_12,2>6,4>2>6,0>4>2>6,1
2024,clock_12,2>6,4>2>6,5>4>2>6,3
2024,clock_12,2>6,4>2>6,6>4>2>6,11
2024,clock_12,2>6,4>2>6,7>4>2>6,1
2024,clock_12,2>6,4>2>6,,1
2024,clock_12,2>6,5>2>6,4>5>2>6,3
2024,clock_12,2>6,5>2>6,6>5>2>6,3
2024,clock_12,2>6,5>2>6,7>5>2>6,1
2024,clock_12,2>6,5>2>6,,6
2024,clock_12,2>6,6>2>6,4>6>2>6,9
2024,clock_12,2>6,6>2>6,5>6>2>6,3
2024,clock_12,2>6,6>2>6,,12
2024,clock_12,3>0,0>3>0,1>0>3>0,1
2024,clock_12,3>0,0>3>0,2>0>3>0,1
2024,clock_12,3>0,0>3>0,3>0>3>0,3
2024,clock_12,3>0,0>3>0,6>0>3>0,1
2024,clock_12,3>0,0>3>0,,4
2024,clock_12,3>0,1>3>0,0>1>3>0,1
2024,clock_12,3>0,1>3>0,3>1>3>0,5
2024,clock_12,3>0,1>3>0,4>1>3>0,2
2024,clock_12,3>0,2>3>0,3>2>3>0,1
2024,clock_12,3>0,2>3>0,4>2>3>0,1
2024,clock_12,3>0,4>3>0,0>4>3>0,2
2024,clock_12,3>0,4>3>0,1>4>3>0,1
2024,clock_12,3>0,4>3>0,3>4>3>0,3
2024,clock_12,3>0,4>3>0,5>4>3>0,1
2024,clock_12,3>0,4>3>0,6>4>3>0,1
2024,clock_12,3>0,4>3>0,,5
2024,clock_12,3>0,6>3>0,4>6>3>0,3
2024,clock_12,3>0,6>3>0,,7
2024,clock_12,3>0,,,1
2024,clock_12,3>1,0>3>1,3>0>3>1,4
2024,clock_12,3>1,0>3>1,4>0>3>1,1
2024,clock_12,3>1,1>3>1,3>1>3>1,8
2024,clock_12,3>1,1>3>1,4>1>3>1,4
2024,clock_12,3>1,1>3>1,6>1>3>1,2
2024,clock_12,3>1,2>3>1,1>2>3>1,1
2024,clock_12,3>1,2>3>1,4>2>3>1,3
2024,clock_12,3>1,4>3>1,0>4>3>1,1
2024,clock_12,3>1,4>3>1,1>4>3>1,1
2024,clock_12,3>1,4>3>1,2>4>3>1,1
2024,clock_12,3>1,4>3>1,3>4>3>1,4
2024,clock_12,3>1,4>3>1,6>4>3>1,5
2024,clock_12,3>1,4>3>1,,7
2024,clock_12,3>1,6>3>1,0>6>3>1,1
2024,clock_12,3>1,6>3>1,3>6>3>1,2
2024,clock_12,3>1,6>3>1,4>6>3>1,6
2024,clock_12,3>1,6>3>1,,14
2024,clock_12,3>2,1>3>2,3>1>3>2,1
2024,clock_12,3>2,1>3>2,4>1>3>2,1
2024,clock_12,3>2,2>3>2,1>2>3>2,1
2024,clock_12,3>2,2>3>2,4>2>3>2,2
2024,clock_12,3>2,2>3>2,6>2>3>2,1
2024,clock_12,3>2,4>3>2,1>4>3>2,1
2024,clock_12,3>2,4>3>2,3>4>3>2,3
2024,clock_12,3>2,4>3>2,6>4>3>2,4
2024,clock_12,3>2,6>3>2,0>6>3>2,1
2024,clock_12,3>2,6>3>2,3>6>3>2,2
2024,clock_12,3>2,6>3>2,4>6>3>2,4
2024,clock_12,3>2,6>3>2,,3
2024,clock_12,3>4,0>3>4,3>0>3>4,1
2024,clock_12,3>4,0>3>4,4>0>3>4,1
2024,clock_12,3>4,0>3>4,6>0>3>4,1
2024,clock_12,3>4,0>3>4,,7
2024,clock_12,3>4,1>3>4,2>1>3>4,4
2024,clock_12,3>4,1>3>4,3>1>3>4,2
2024,clock_12,3>4,1>3>4,4>1>3>4,8
2024,clock_12,3>4,1>3>4,6>1>3>4,1
2024,clock_12,3>4,2>3>4,3>2>3>4,2
2024,clock_12,3>4,2>3>4,4>2>3>4,3
2024,clock_12,3>4,2>3>4,6>2>3>4,3
2024,clock_12,3>4,4>3>4,0>4>3>4,4
2024,clock_12,3>4,4>3>4,1>4>3>4,2
2024,clock_12,3>4,4>3>4,2>4>3>4,2
2024,clock_12,3>4,4>3>4,3>4>3>4,7
2024,clock_12,3>4,4>3>4,6>4>3>4,15
2024,clock_12,3>4,4>3>4,,12
2024,clock_12,3>4,6>3>4,0>6>3>4,3
2024,clock_12,3>4,6>3>4,2>6>3>4,1
2024,clock_12,3>4,6>3>4,3>6>3>4,7
2024,clock_12,3>4,6>3>4,4>6>3>4,15
2024,clock_12,3>4,6>3>4,,42
2024,clock_12,3>4,,,1
2024,clock_12,3>5,6>3>5,,1
2024,clock_12,3>6,0>3>6,4>0>3>6,2
2024,clock_12,3>6,0>3>6,,1
2024,clock_12,3>6,1>3>6,4>1>3>6,1
2024,clock_12,3>6,2>3>6,6>2>3>6,2
2024,clock_12,3>6,4>3>6,0>4>3>6,1
2024,clock_12,3>6,4>3>6,2>4>3>6,2
2024,clock_12,3>6,4>3>6,3>4>3>6,1
2024,clock_12,3>6,4>3>6,6>4>3>6,5
2024,clock_12,3>6,4>3>6,,4
2024,clock_12,3>6,6>3>6,2>6>3>6,3
2024,clock_12,3>6,6>3>6,3>6>3>6,7
2024,clock_12,3>6,6>3>6,4>6>3>6,12
2024,clock_12,3>6,6>3>6,,6
2024,clock_12,4>0,0>4>0,4>0>4>0,2
2024,clock_12,4>0,1>4>0,6>1>4>0,1
2024,clock_12,4>0,2>4>0,4>2>4>0,2
2024,clock_12,4>0,3>4>0,1>3>4>0,1
2024,clock_12,4>0,3>4>0,4>3>4>0,1
2024,clock_12,4>0,3>4>0,6>3>4>0,2
2024,clock_12,4>0,6>4>0,0>6>4>0,1
2024,clock_12,4>0,6>4>0,,3
2024,clock_12,4>0,,,8
2024,clock_12,4>1,0>4>1,,2
2024,clock_12,4>1,1>4>1,4>1>4>1,4
2024,clock_12,4>1,2>4>1,0>2>4>1,1
2024,clock_12,4>1,2>4>1,1>2>4>1,1
2024,clock_12,4>1,2>4>1,4>2>4>1,7
2024,clock_12,4>1,3>4>1,4>3>4>1,5
2024,clock_12,4>1,3>4>1,6>3>4>1,7
2024,clock_12,4>1,5>4>1,6>5>4>1,1
2024,clock_12,4>1,5>4>1,,1
2024,clock_12,4>1,6>4>1,1>6>4>1,1
2024,clock_12,4>1,6>4>1,3>6>4>1,1
2024,clock_12,4>1,6>4>1,4>6>4>1,4
2024,clock_12,4>1,6>4>1,,12
2024,clock_12,4>1,,,14
2024,clock_12,4>2,0>4>2,6>0>4>2,1
2024,clock_12,4>2,1>4>2,2>1>4>2,2
2024,clock_12,4>2,1>4>2,3>1>4>2,1
2024,clock_12,4>2,2>4>2,4>2>4>2,7
2024,clock_12,4>2,2>4>2,5>2>4>2,1
2024,clock_12,4>2,2>4>2,6>2>4>2,2
2024,clock_12,4>2,3>4>2,0>3>4>2,2
2024,clock_12,4>2,3>4>2,1>3>4>2,1
2024,clock_12,4>2,3>4>2,4>3>4>2,1
2024,clock_12,4>2,3>4>2,6>3>4>2,6
2024,clock_12,4>2,3>4>2,,2
2024,clock_12,4>2,5>4>2,4>5>4>2,3
2024,clock_12,4>2,5>4>2,6>5>4>2,1
2024,clock_12,4>2,5>4>2,,2
2024,clock_12,4>2,6>4>2,0>6>4>2,1
2024,clock_12,4>2,6>4>2,2>6>4>2,1
2024,clock_12,4>2,6>4>2,3>6>4>2,3
2024,clock_12,4>2,6>4>2,4>6>4>2,26
2024,clock_12,4>2,6>4>2,5>6>4>2,2
2024,clock_12,4>2,6>4>2,,49
2024,clock_12,4>2,,,37
2024,clock_12,4>3,0>4>3,3>0>4>3,2
2024,clock_12,4>3,0>4>3,4>0>4>3,1
2024,clock_12,4>3,0>4>3,6>0>4>3,2
2024,clock_12,4>3,0>4>3,,5
2024,clock_12,4>3,1>4>3,2>1>4>3,1
2024,clock_12,4>3,1>4>3,3>1>4>3,1
2024,clock_12,4>3,1>4>3,4>1>4>3,3
2024,clock_12,4>3,2>4>3,0>2>4>3,1
2024,clock_12,4>3,2>4>3,1>2>4>3,3
2024,clock_12,4>3,2>4>3,4>2>4>3,7
2024,clock_12,4>3,3>4>3,1>3>4>3,1
2024,clock_12,4>3,3>4>3,4>3>4>3,14
2024,clock_12,4>3,3>4>3,6>3>4>3,9
2024,clock_12,4>3,3>4>3,,3
2024,clock_12,4>3,5>4>3,3>5>4>3,1
2024,clock_12,4>3,5>4>3,4>5>4>3,1
2024,clock_12,4>3,5>4>3,6>5>4>3,1
2024,clock_12,4>3,5>4>3,,2
2024,clock_12,4>3,6>4>3,0>6>4>3,2
2024,clock_12,4>3,6>4>3,3>6>4>3,3
2024,clock_12,4>3,6>4>3,4>6>4>3,21
2024,clock_12,4>3,6>4>3,,32
2024,clock_12,4>3,,,56
2024,clock_12,4>5,0>4>5,,4
2024,clock_12,4>5,1>4>5,0>1>4>5,1
2024,clock_12,4>5,1>4>5,4>1>4>5,1
2024,clock_12,4>5,2>4>5,4>2>4>5,1
2024,clock_12,4>5,2>4>5,5>2>4>5,2
2024,clock_12,4>5,2>4>5,6>2>4>5,1
2024,clock_12,4>5,3>4>5,0>3>4>5,1
2024,clock_12,4>5,3>4>5,1>3>4>5,1
2024,clock_12,4>5,5>4>5,4>5>4>5,16
2024,clock_12,4>5,5>4>5,6>5>4>5,2
2024,clock_12,4>5,5>4>5,,8
2024,clock_12,4>5,6>4>5,0>6>4>5,1
2024,clock_12,4>5,6>4>5,4>6>4>5,8
2024,clock_12,4>5,6>4>5,5>6>4>5,4
2024,clock_12,4>5,6>4>5,,13
2024,clock_12,4>5,,,52
2024,clock_12,4>6,0>4>6,,13
2024,clock_12,4>6,1>4>6,2>1>4>6,1
2024,clock_12,4>6,1>4>6,4>1>4>6,1
2024,clock_12,4>6,1>4>6,6>1>4>6,2
2024,clock_12,4>6,1>4>6,,1
2024,clock_12,4>6,2>4>6,4>2>4>6,9
2024,clock_12,4>6,2>4>6,6>2>4>6,3
2024,clock_12,4>6,3>4>6,0>3>4>6,4
2024,clock_12,4>6,3>4>6,6>3>4>6,3
2024,clock_12,4>6,5>4>6,4>5>4>6,14
2024,clock_12,4>6,5>4>6,6>5>4>6,11
2024,clock_12,4>6,5>4>6,7>5>4>6,6
2024,clock_12,4>6,5>4>6,,24
2024,clock_12,4>6,6>4>6,0>6>4>6,8
2024,clock_12,4>6,6>4>6,2>6>4>6,1
2024,clock_12,4>6,6>4>6,3>6>4>6,3
2024,clock_12,4>6,6>4>6,4>6>4>6,82
2024,clock_12,4>6,6>4>6,5>6>4>6,9
2024,clock_12,4>6,6>4>6,,136
2024,clock_12,4>6,7>4>6,,4
2024,clock_12,4>6,,,201
2024,clock_12,5>1,6>5>1,,1
2024,clock_12,5>2,0>5>2,1>0>5>2,1
2024,clock_12,5>2,2>5>2,4>2>5>2,2
2024,clock_12,5>2,4>5>2,0>4>5>2,2
2024,clock_12,5>2,4>5>2,2>4>5>2,2
2024,clock_12,5>2,4>5>2,5>4>5>2,1
2024,clock_12,5>2,4>5>2,6>4>5>2,3
2024,clock_12,5>2,4>5>2,,4
2024,clock_12,5>2,6>5>2,5>6>5>2,2
2024,clock_12,5>2,6>5>2,7>6>5>2,2
2024,clock_12,5>2,6>5>2,,4
2024,clock_12,5>2,7>5>2,,1
2024,clock_12,5>2,,,4
2024,clock_12,5>4,2>5>4,4>2>5>4,1
2024,clock_12,5>4,2>5>4,5>2>5>4,1
2024,clock_12,5>4,3>5>4,6>3>5>4,1
2024,clock_12,5>4,4>5>4,2>4>5>4,2
2024,clock_12,5>4,4>5>4,5>4>5>4,7
2024,clock_12,5>4,4>5>4,6>4>5>4,11
2024,clock_12,5>4,4>5>4,7>4>5>4,1
2024,clock_12,5>4,4>5>4,,12
2024,clock_12,5>4,6>5>4,0>6>5>4,1
2024,clock_12,5>4,6>5>4,4>6>5>4,2
2024,clock_12,5>4,6>5>4,5>6>5>4,4
2024,clock_12,5>4,6>5>4,7>6>5>4,1
2024,clock_12,5>4,6>5>4,,13
2024,clock_12,5>4,7>5>4,,5
2024,clock_12,5>4,,,24
2024,clock_12,5>6,2>5>6,4>2>5>6,1
2024,clock_12,5>6,2>5>6,5>2>5>6,4
2024,clock_12,5>6,4>5>6,5>4>5>6,9
2024,clock_12,5>6,4>5>6,6>4>5>6,6
2024,clock_12,5>6,4>5>6,,27
2024,clock_12,5>6,6>5>6,3>6>5>6,1
2024,clock_12,5>6,6>5>6,4>6>5>6,4
2024,clock_12,5>6,6>5>6,5>6>5>6,25
2024,clock_12,5>6,6>5>6,7>6>5>6,10
2024,clock_12,5>6,6>5>6,,52
2024,clock_12,5>6,7>5>6,0>7>5>6,1
2024,clock_12,5>6,7>5>6,5>7>5>6,8
2024,clock_12,5>6,7>5>6,6>7>5>6,2
2024,clock_12,5>6,7>5>6,,45
2024,clock_12,5>6,,,86
2024,clock_12,5>7,6>5>7,5>6>5>7,1
2024,clock_12,5>7,6>5>7,7>6>5>7,1
2024,clock_12,5>7,6>5>7,,3
2024,clock_12,5>7,7>5>7,5>7>5>7,12
2024,clock_12,5>7,7>5>7,6>7>5>7,2
2024,clock_12,5>7,7>5>7,,18
2024,clock_12,5>7,,,15
2024,clock_12,6>0,1>6>0,,1
2024,clock_12,6>0,2>6>0,5>2>6>0,1
2024,clock_12,6>0,3>6>0,4>3>6>0,1
2024,clock_12,6>0,4>6>0,,2
2024,clock_12,6>0,,,2
2024,clock_12,6>1,3>6>1,6>3>6>1,1
2024,clock_12,6>1,4>6>1,6>4>6>1,2
2024,clock_12,6>1,4>6>1,,1
2024,clock_12,6>1,5>6>1,7>5>6>1,1
2024,clock_12,6>1,,,8
2024,clock_12,6>2,0>6>2,,1
2024,clock_12,6>2,4>6>2,3>4>6>2,1
2024,clock_12,6>2,4>6>2,5>4>6>2,1
2024,clock_12,6>2,4>6>2,6>4>6>2,5
2024,clock_12,6>2,4>6>2,,6
2024,clock_12,6>2,5>6>2,4>5>6>2,1
2024,clock_12,6>2,5>6>2,6>5>6>2,4
2024,clock_12,6>2,5>6>2,7>5>6>2,2
2024,clock_12,6>2,5>6>2,,3
2024,clock_12,6>2,7>6>2,,1
2024,clock_12,6>2,,,17
2024,clock_12,6>3,0>6>3,3>0>6>3,1
2024,clock_12,6>3,0>6>3,4>0>6>3,1
2024,clock_12,6>3,0>6>3,,5
2024,clock_12,6>3,1>6>3,,1
2024,clock_12,6>3,2>6>3,0>2>6>3,2
2024,clock_12,6>3,2>6>3,4>2>6>3,2
2024,clock_12,6>3,2>6>3,6>2>6>3,2
2024,clock_12,6>3,3>6>3,0>3>6>3,3
2024,clock_12,6>3,3>6>3,1>3>6>3,1
2024,clock_12,6>3,3>6>3,2>3>6>3,1
2024,clock_12,6>3,3>6>3,4>3>6>3,8
2024,clock_12,6>3,3>6>3,6>3>6>3,25
2024,clock_12,6>3,3>6>3,,1
2024,clock_12,6>3,4>6>3,0>4>6>3,1
2024,clock_12,6>3,4>6>3,1>4>6>3,1
2024,clock_12,6>3,4>6>3,2>4>6>3,1
2024,clock_12,6>3,4>6>3,3>4>6>3,6
2024,clock_12,6>3,4>6>3,5>4>6>3,2
2024,clock_12,6>3,4>6>3,6>4>6>3,24
2024,clock_12,6>3,4>6>3,,38
2024,clock_12,6>3,5>6>3,,1
2024,clock_12,6>3,,,118
2024,clock_12,6>4,0>6>4,4>0>6>4,2
2024,clock_12,6>4,0>6>4,6>0>6>4,1
2024,clock_12,6>4,0>6>4,,13
2024,clock_12,6>4,1>6>4,4>1>6>4,1
2024,clock_12,6>4,2>6>4,4>2>6>4,5
2024,clock_12,6>4,2>6>4,6>2>6>4,4
2024,clock_12,6>4,3>6>4,0>3>6>4,2
2024,clock_12,6>4,3>6>4,4>3>6>4,5
2024,clock_12,6>4,3>6>4,6>3>6>4,8
2024,clock_12,6>4,3>6>4,,1
2024,clock_12,6>4,4>6>4,0>4>6>4,7
2024,clock_12,6>4,4>6>4,2>4>6>4,5
2024,clock_12,6>4,4>6>4,3>4>6>4,4
2024,clock_12,6>4,4>6>4,5>4>6>4,19
2024,clock_12,6>4,4>6>4,6>4>6>4,111
2024,clock_12,6>4,4>6>4,7>4>6>4,1
2024,clock_12,6>4,4>6>4,,161
2024,clock_12,6>4,5>6>4,4>5>6>4,7
2024,clock_12,6>4,5>6>4,6>5>6>4,6
2024,clock_12,6>4,5>6>4,7>5>6>4,5
2024,clock_12,6>4,5>6>4,,13
2024,clock_12,6>4,7>6>4,5>7>6>4,1
2024,clock_12,6>4,7>6>4,,3
2024,clock_12,6>4,,,372
2024,clock_12,6>5,0>6>5,,1
2024,clock_12,6>5,2>6>5,5>2>6>5,2
