signature_id,direction,dimension,value,rows,total_net_bps,mean_net_bps
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-17|clock_12,1,-140.710324795,-140.710324795
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-19|clock_12,3,-11.3019067197,-3.76730223991
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-19|clock_36,2,-1305.19036411,-652.595182057
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-20|clock_12,2,423.822191325,211.911095662
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-20|clock_36,3,478.174403964,159.391467988
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-23|clock_12,3,-592.953613469,-197.65120449
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-23|clock_36,1,196.515832951,196.515832951
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-24|clock_12,2,-419.092241275,-209.546120637
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-26|clock_12,1,578.887777778,578.887777778
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-27|clock_36,1,-439.568755274,-439.568755274
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-30|clock_36,1,67.151192846,67.151192846
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-02|clock_12,1,189.12347561,189.12347561
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-03|clock_12,1,341.077390824,341.077390824
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-03|clock_36,3,-368.812129019,-122.93737634
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-06|clock_12,1,-759.516924565,-759.516924565
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-06|clock_36,1,366.372732691,366.372732691
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-07|clock_12,1,80.3944039524,80.3944039524
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-08|clock_12,1,-801.177003507,-801.177003507
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-08|clock_36,3,4141.31801738,1380.43933913
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-10|clock_12,2,-586.130337146,-293.065168573
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-10|clock_36,2,-933.130265984,-466.565132992
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-13|clock_12,2,-19.5453872725,-9.77269363624
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-13|clock_36,1,95.6701858708,95.6701858708
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-14|clock_12,3,41.6897719712,13.8965906571
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-14|clock_36,1,1589.99757576,1589.99757576
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-15|clock_12,1,-541.197391433,-541.197391433
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-15|clock_36,1,489.051329445,489.051329445
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-16|clock_36,2,-228.639733358,-114.319866679
