period,symbol_norm,source_rows_in_period,accepted_regular_rows,sessions,outside_regular_rows,off_grid_regular_rows,invalid_ohlc_rows,invalid_volume_rows,first_timestamp,last_timestamp
2025,RIVN,19629,19354,250,233,1,33,41,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,SMCI,19613,19394,250,218,0,1,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,SOFI,19628,19389,250,233,0,5,6,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,WULF,19629,19382,250,233,1,8,13,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2026,AAOI,9638,9511,122,122,0,5,5,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,APLD,9638,9456,122,122,0,59,60,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,ASTS,9638,9459,122,122,0,57,57,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,CIFR,9638,9460,122,122,0,56,56,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,HIMS,9638,9463,122,122,0,53,53,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,IONQ,9638,9462,122,122,0,54,54,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,IREN,9638,9438,122,122,0,56,78,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MARA,9638,9509,122,122,0,3,7,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MP,9637,9465,122,121,0,51,51,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MRNA,9638,9460,122,122,0,56,56,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MSTR,9638,9461,122,122,0,55,55,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,NVTS,9638,9510,122,122,0,1,6,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,QBTS,9638,9463,122,122,0,52,53,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,RGTI,9638,9435,122,122,0,58,81,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,RIOT,9638,9457,122,122,0,59,59,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,RIVN,9638,9454,122,122,0,58,62,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,SMCI,9638,9513,122,122,0,2,3,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,SOFI,9638,9515,122,122,0,1,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,WULF,9638,9505,122,122,0,3,11,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
