population,scope_type,scope_value,candidate,onset_class,symbol,rows,share,absolute_contribution_bps,maximum_allowed_share,passes
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,RIVN,1,0.00289855072464,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,SMCI,19,0.0550724637681,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,SOFI,4,0.0115942028986,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,WULF,21,0.0608695652174,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,AAL,2,0.00251889168766,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,AAOI,60,0.0755667506297,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,APLD,62,0.0780856423174,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,ASTS,41,0.051637279597,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,CIFR,52,0.0654911838791,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,HIMS,58,0.0730478589421,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,IONQ,56,0.0705289672544,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,IREN,37,0.0465994962217,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,MARA,18,0.0226700251889,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,MP,39,0.0491183879093,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,MRNA,17,0.0214105793451,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,MSTR,15,0.0188916876574,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,NVTS,53,0.0667506297229,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,QBTS,90,0.113350125945,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,RGTI,72,0.0906801007557,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,RIOT,23,0.0289672544081,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,RIVN,4,0.00503778337531,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,SMCI,33,0.0415617128463,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,SOFI,9,0.0113350125945,,,True
primary_high_movement_rows,checkpoint,12,not_applicable,not_applicable,WULF,53,0.0667506297229,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,AAL,5,0.0065274151436,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,AAOI,58,0.0757180156658,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,APLD,58,0.0757180156658,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,ASTS,38,0.0496083550914,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,CIFR,45,0.0587467362924,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,HIMS,66,0.0861618798956,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,IONQ,59,0.0770234986945,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,IREN,36,0.0469973890339,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,MARA,16,0.0208877284595,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,MP,38,0.0496083550914,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,MRNA,16,0.0208877284595,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,MSTR,13,0.0169712793734,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,NVTS,52,0.0678851174935,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,QBTS,81,0.105744125326,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,RGTI,67,0.0874673629243,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,RIOT,22,0.0287206266319,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,RIVN,5,0.0065274151436,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,SMCI,38,0.0496083550914,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,SOFI,8,0.0104438642298,,,True
primary_high_movement_rows,checkpoint,6,not_applicable,not_applicable,WULF,45,0.0587467362924,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,AAL,1,0.00335570469799,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,AAOI,15,0.0503355704698,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,APLD,26,0.0872483221477,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,ASTS,8,0.0268456375839,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,CIFR,14,0.0469798657718,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,HIMS,6,0.0201342281879,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,IONQ,35,0.11744966443,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,IREN,19,0.0637583892617,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,MARA,6,0.0201342281879,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,MP,2,0.00671140939597,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,MRNA,11,0.0369127516779,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,MSTR,9,0.0302013422819,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,NVTS,15,0.0503355704698,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,QBTS,40,0.134228187919,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,RGTI,40,0.134228187919,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,RIOT,16,0.0536912751678,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,RIVN,3,0.010067114094,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,SMCI,8,0.0268456375839,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,SOFI,2,0.00671140939597,,,True
primary_high_movement_rows,month,2025-01,not_applicable,not_applicable,WULF,22,0.0738255033557,,,True
