deleted_symbol,comparison,rows,sessions,stocks,full_increment,leave_one_out_increment,same_sign_as_full
QBTS,D3_minus_D2_log_loss,1389,152,19,-0.0252881545591,-0.0256295036405,True
RGTI,A2_minus_A1_brier,1421,153,19,0.00122939627995,0.00179843379371,True
RGTI,A2_minus_A1_log_loss,1421,153,19,0.00483774443215,0.00612426705646,True
RGTI,A3_minus_A2_brier,1421,153,19,-0.00189282693197,-0.00244024697456,True
RGTI,A3_minus_A2_log_loss,1421,153,19,-0.00625273543842,-0.00748687726657,True
RGTI,D2_minus_D1_brier,1421,153,19,-0.0173504287875,-0.0178807005047,True
RGTI,D2_minus_D1_log_loss,1421,153,19,-0.0423065570939,-0.0441441394466,True
RGTI,D3_minus_D2_brier,1421,153,19,-0.00959845070952,-0.00864023188079,True
RGTI,D3_minus_D2_log_loss,1421,153,19,-0.0252881545591,-0.0237575316618,True
RIOT,A2_minus_A1_brier,1515,153,19,0.00122939627995,0.000948252876369,True
RIOT,A2_minus_A1_log_loss,1515,153,19,0.00483774443215,0.00423489780998,True
RIOT,A3_minus_A2_brier,1515,153,19,-0.00189282693197,-0.00208470085972,True
RIOT,A3_minus_A2_log_loss,1515,153,19,-0.00625273543842,-0.00666955075255,True
RIOT,D2_minus_D1_brier,1515,153,19,-0.0173504287875,-0.0174861637298,True
RIOT,D2_minus_D1_log_loss,1515,153,19,-0.0423065570939,-0.0425745839688,True
RIOT,D3_minus_D2_brier,1515,153,19,-0.00959845070952,-0.0100795889865,True
RIOT,D3_minus_D2_log_loss,1515,153,19,-0.0252881545591,-0.0264690020123,True
RIVN,A2_minus_A1_brier,1551,153,19,0.00122939627995,0.00107516865587,True
RIVN,A2_minus_A1_log_loss,1551,153,19,0.00483774443215,0.00454550338126,True
RIVN,A3_minus_A2_brier,1551,153,19,-0.00189282693197,-0.00189771400254,True
RIVN,A3_minus_A2_log_loss,1551,153,19,-0.00625273543842,-0.00627052997507,True
RIVN,D2_minus_D1_brier,1551,153,19,-0.0173504287875,-0.017385210809,True
RIVN,D2_minus_D1_log_loss,1551,153,19,-0.0423065570939,-0.0424937634041,True
RIVN,D3_minus_D2_brier,1551,153,19,-0.00959845070952,-0.00970381642865,True
RIVN,D3_minus_D2_log_loss,1551,153,19,-0.0252881545591,-0.0255249029412,True
SMCI,A2_minus_A1_brier,1489,153,19,0.00122939627995,0.00122422497411,True
SMCI,A2_minus_A1_log_loss,1489,153,19,0.00483774443215,0.00478779710068,True
SMCI,A3_minus_A2_brier,1489,153,19,-0.00189282693197,-0.00166406903571,True
SMCI,A3_minus_A2_log_loss,1489,153,19,-0.00625273543842,-0.00577303852711,True
SMCI,D2_minus_D1_brier,1489,153,19,-0.0173504287875,-0.0188878321989,True
SMCI,D2_minus_D1_log_loss,1489,153,19,-0.0423065570939,-0.0458388531421,True
SMCI,D3_minus_D2_brier,1489,153,19,-0.00959845070952,-0.00969569667642,True
SMCI,D3_minus_D2_log_loss,1489,153,19,-0.0252881545591,-0.0257910992295,True
SOFI,A2_minus_A1_brier,1543,152,19,0.00122939627995,0.00112835620633,True
SOFI,A2_minus_A1_log_loss,1543,152,19,0.00483774443215,0.00454126090582,True
SOFI,A3_minus_A2_brier,1543,152,19,-0.00189282693197,-0.00189325481582,True
SOFI,A3_minus_A2_log_loss,1543,152,19,-0.00625273543842,-0.00619301998832,True
SOFI,D2_minus_D1_brier,1543,152,19,-0.0173504287875,-0.0169377353253,True
SOFI,D2_minus_D1_log_loss,1543,152,19,-0.0423065570939,-0.0410956090786,True
SOFI,D3_minus_D2_brier,1543,152,19,-0.00959845070952,-0.00955570633099,True
SOFI,D3_minus_D2_log_loss,1543,152,19,-0.0252881545591,-0.0251431715513,True
WULF,A2_minus_A1_brier,1462,153,19,0.00122939627995,0.00126045899386,True
WULF,A2_minus_A1_log_loss,1462,153,19,0.00483774443215,0.00462661857672,True
WULF,A3_minus_A2_brier,1462,153,19,-0.00189282693197,-0.00116485246782,True
WULF,A3_minus_A2_log_loss,1462,153,19,-0.00625273543842,-0.00471429258798,True
WULF,D2_minus_D1_brier,1462,153,19,-0.0173504287875,-0.0161606169557,True
WULF,D2_minus_D1_log_loss,1462,153,19,-0.0423065570939,-0.0398344246204,True
WULF,D3_minus_D2_brier,1462,153,19,-0.00959845070952,-0.0096638451088,True
WULF,D3_minus_D2_log_loss,1462,153,19,-0.0252881545591,-0.0254863639914,True
