record_type,draw,metric,null_value,real_value,null_q90,real_percentile,null_interpretation
draw,7,pressure_minus_readiness_economic_30m,-36.7578273725,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,8,pressure_minus_readiness_economic_30m,-29.6946263594,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,9,pressure_minus_readiness_economic_30m,-32.2183767226,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,10,pressure_minus_readiness_economic_30m,-17.7775914912,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,11,pressure_minus_readiness_economic_30m,-42.0932051809,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,12,pressure_minus_readiness_economic_30m,-21.6838047218,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,13,pressure_minus_readiness_economic_30m,-23.1558651579,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,14,pressure_minus_readiness_economic_30m,-32.318379869,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,15,pressure_minus_readiness_economic_30m,-14.2448960459,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,16,pressure_minus_readiness_economic_30m,-41.2758178072,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,17,pressure_minus_readiness_economic_30m,-11.8644259909,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,18,pressure_minus_readiness_economic_30m,-11.1331202037,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,19,pressure_minus_readiness_economic_30m,-19.7025911754,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,20,pressure_minus_readiness_economic_30m,-42.4686110097,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,21,pressure_minus_readiness_economic_30m,-49.2397512914,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,22,pressure_minus_readiness_economic_30m,-15.939758079,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,23,pressure_minus_readiness_economic_30m,-32.4418616729,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,24,pressure_minus_readiness_economic_30m,0.482065574952,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,25,pressure_minus_readiness_economic_30m,-36.8593694946,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,26,pressure_minus_readiness_economic_30m,-24.6305894907,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,27,pressure_minus_readiness_economic_30m,-28.2548409773,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,28,pressure_minus_readiness_economic_30m,-13.7845855139,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,29,pressure_minus_readiness_economic_30m,-28.7518947918,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,30,pressure_minus_readiness_economic_30m,-56.099445956,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,31,pressure_minus_readiness_economic_30m,-16.6256276604,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,32,pressure_minus_readiness_economic_30m,-35.7633308703,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,33,pressure_minus_readiness_economic_30m,-11.3349399813,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,34,pressure_minus_readiness_economic_30m,-47.3009651691,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,35,pressure_minus_readiness_economic_30m,-29.1716534793,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,36,pressure_minus_readiness_economic_30m,-38.2477269664,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,37,pressure_minus_readiness_economic_30m,-51.1346269712,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,38,pressure_minus_readiness_economic_30m,-14.0099953486,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,39,pressure_minus_readiness_economic_30m,-28.7925016497,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,40,pressure_minus_readiness_economic_30m,-36.3494486603,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,41,pressure_minus_readiness_economic_30m,-25.2751074582,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,42,pressure_minus_readiness_economic_30m,-16.6173696174,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,43,pressure_minus_readiness_economic_30m,-29.137492915,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,44,pressure_minus_readiness_economic_30m,1.87840293636,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,45,pressure_minus_readiness_economic_30m,-26.8351975314,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,46,pressure_minus_readiness_economic_30m,-21.805485394,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,47,pressure_minus_readiness_economic_30m,-24.619501337,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,48,pressure_minus_readiness_economic_30m,-30.7881895155,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,49,pressure_minus_readiness_economic_30m,-25.155398796,-15.501912367,,,admitted_bundle_within_valid_parent_slate
summary,-1,A2_minus_A1_brier_improvement,-0.00357607448563,0.00122939627995,-0.000374925407817,0.98,admitted_bundle_within_valid_parent_slate
summary,-1,D2_minus_D1_brier_improvement,-0.0190522522896,-0.0173504287875,-0.0123212914238,0.6,admitted_bundle_within_valid_parent_slate
summary,-1,pressure_minus_readiness_economic_30m,-27.5053701722,-15.501912367,-13.5925695616,0.84,admitted_bundle_within_valid_parent_slate
