population,scope_type,scope_value,target,model,bin,lower_bound_inclusive,upper_bound_exclusive_except_last,rows,mean_probability,observed_rate
primary_high_movement,checkpoint,6,directional_onset,A2,2,0.1,0.2,0,,
primary_high_movement,checkpoint,6,directional_onset,A2,3,0.2,0.3,22,0.274800660072,0.318181818182
primary_high_movement,checkpoint,6,directional_onset,A2,4,0.3,0.4,132,0.356600161013,0.272727272727
primary_high_movement,checkpoint,6,directional_onset,A2,5,0.4,0.5,201,0.450566081209,0.402985074627
primary_high_movement,checkpoint,6,directional_onset,A2,6,0.5,0.6,161,0.546235301952,0.447204968944
primary_high_movement,checkpoint,6,directional_onset,A2,7,0.6,0.7,108,0.645122444798,0.546296296296
primary_high_movement,checkpoint,6,directional_onset,A2,8,0.7,0.8,69,0.745416853765,0.695652173913
primary_high_movement,checkpoint,6,directional_onset,A2,9,0.8,0.9,46,0.853190569416,0.739130434783
primary_high_movement,checkpoint,6,directional_onset,A2,10,0.9,1,27,0.946033155765,0.888888888889
primary_high_movement,checkpoint,6,directional_onset,A3,1,0,0.1,0,,
primary_high_movement,checkpoint,6,directional_onset,A3,2,0.1,0.2,2,0.191525490562,0.5
primary_high_movement,checkpoint,6,directional_onset,A3,3,0.2,0.3,38,0.264342485154,0.447368421053
primary_high_movement,checkpoint,6,directional_onset,A3,4,0.3,0.4,122,0.355776952372,0.237704918033
primary_high_movement,checkpoint,6,directional_onset,A3,5,0.4,0.5,169,0.451018218672,0.384615384615
primary_high_movement,checkpoint,6,directional_onset,A3,6,0.5,0.6,164,0.546753876359,0.439024390244
primary_high_movement,checkpoint,6,directional_onset,A3,7,0.6,0.7,115,0.641121157369,0.530434782609
primary_high_movement,checkpoint,6,directional_onset,A3,8,0.7,0.8,76,0.742397656296,0.697368421053
primary_high_movement,checkpoint,6,directional_onset,A3,9,0.8,0.9,46,0.849051649227,0.739130434783
primary_high_movement,checkpoint,6,directional_onset,A3,10,0.9,1,34,0.946146481402,0.852941176471
primary_high_movement,checkpoint,6,up_given_onset,D0,1,0,0.1,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,2,0.1,0.2,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,3,0.2,0.3,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,4,0.3,0.4,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,5,0.4,0.5,346,0.474282934098,0.552023121387
primary_high_movement,checkpoint,6,up_given_onset,D0,6,0.5,0.6,15,0.512444139118,0.6
primary_high_movement,checkpoint,6,up_given_onset,D0,7,0.6,0.7,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,8,0.7,0.8,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,9,0.8,0.9,0,,
primary_high_movement,checkpoint,6,up_given_onset,D0,10,0.9,1,0,,
primary_high_movement,checkpoint,6,up_given_onset,D1,1,0,0.1,0,,
primary_high_movement,checkpoint,6,up_given_onset,D1,2,0.1,0.2,0,,
primary_high_movement,checkpoint,6,up_given_onset,D1,3,0.2,0.3,0,,
primary_high_movement,checkpoint,6,up_given_onset,D1,4,0.3,0.4,48,0.374290733016,0.5
primary_high_movement,checkpoint,6,up_given_onset,D1,5,0.4,0.5,193,0.44892220826,0.554404145078
primary_high_movement,checkpoint,6,up_given_onset,D1,6,0.5,0.6,93,0.544588093098,0.612903225806
primary_high_movement,checkpoint,6,up_given_onset,D1,7,0.6,0.7,20,0.639692015746,0.45
primary_high_movement,checkpoint,6,up_given_onset,D1,8,0.7,0.8,6,0.7261201957,0.333333333333
primary_high_movement,checkpoint,6,up_given_onset,D1,9,0.8,0.9,1,0.829123893671,1
primary_high_movement,checkpoint,6,up_given_onset,D1,10,0.9,1,0,,
primary_high_movement,checkpoint,6,up_given_onset,D2,1,0,0.1,1,0.0878190760147,1
primary_high_movement,checkpoint,6,up_given_onset,D2,2,0.1,0.2,10,0.143056898435,0.4
primary_high_movement,checkpoint,6,up_given_onset,D2,3,0.2,0.3,33,0.257004534365,0.575757575758
primary_high_movement,checkpoint,6,up_given_onset,D2,4,0.3,0.4,75,0.352396373163,0.466666666667
primary_high_movement,checkpoint,6,up_given_onset,D2,5,0.4,0.5,68,0.446542608431,0.573529411765
primary_high_movement,checkpoint,6,up_given_onset,D2,6,0.5,0.6,67,0.546762363286,0.537313432836
primary_high_movement,checkpoint,6,up_given_onset,D2,7,0.6,0.7,69,0.644294554635,0.623188405797
primary_high_movement,checkpoint,6,up_given_onset,D2,8,0.7,0.8,33,0.741117282078,0.606060606061
primary_high_movement,checkpoint,6,up_given_onset,D2,9,0.8,0.9,5,0.826028601346,0.6
primary_high_movement,checkpoint,6,up_given_onset,D2,10,0.9,1,0,,
primary_high_movement,checkpoint,6,up_given_onset,D3,1,0,0.1,2,0.0586673615819,0.5
primary_high_movement,checkpoint,6,up_given_onset,D3,2,0.1,0.2,20,0.156061570614,0.45
primary_high_movement,checkpoint,6,up_given_onset,D3,3,0.2,0.3,38,0.26066860572,0.578947368421
