record_type,draw,comparison,metric,real_value,null_value,null_q90,real_percentile,draws,activity_bundle_sha256
draw,5,A3_minus_A2,brier,-0.00355079840748,-0.000671937139517,,,50,a70d53ff09f44a0be221fc10d639c6f15593ea6f5cfaec59ffd656c6075175aa
draw,6,A3_minus_A2,brier,-0.00355079840748,-0.000567893578133,,,50,b94bd853b4655bd5ae15e3c23c5274f6179097ec442b6d11aea5289f2c50ecd6
draw,7,A3_minus_A2,brier,-0.00355079840748,-5.61354966547e-05,,,50,1650905f476e7286973340250a49c5de5d0b47a860ededcdf0fd0a0b3e896284
draw,8,A3_minus_A2,brier,-0.00355079840748,-0.000109382082933,,,50,dcc1e79919809e15708af1df5d423a43a7f2dc614fe3cdcb8a8e04e03547ac7e
draw,9,A3_minus_A2,brier,-0.00355079840748,-0.00230992718312,,,50,54918618ff97d05948717e3ac84a65b558c04ca2cd079a68806855ae64ddc35e
draw,10,A3_minus_A2,brier,-0.00355079840748,-0.00110575380834,,,50,e28e0126002e2758899dabe398d80cfc40ceb3aabc5e45dcf02467d0e4f196d3
draw,11,A3_minus_A2,brier,-0.00355079840748,-0.00173342232778,,,50,f64ef63b03a190777ff45f0888a8591a892bf3be1650361500696c81c93cf6c3
draw,12,A3_minus_A2,brier,-0.00355079840748,-0.00126399299917,,,50,8a50be13c2e47c23a6d51acf935f086c28b22a76592c2846d62832936336d6e3
draw,13,A3_minus_A2,brier,-0.00355079840748,-0.00101149039476,,,50,75b945417e0a5d8ab973440305883d5d0468387aecdfcf8f048ddb9c6645252e
draw,14,A3_minus_A2,brier,-0.00355079840748,0.000141629169968,,,50,382f0c5453b6fd60005fb86d5aa3f700567d8e6f7cda2fb1ed776ec617e68cea
draw,15,A3_minus_A2,brier,-0.00355079840748,-0.00102400619775,,,50,ca9a8629aa49f79e01955c3d3eb84069f5420638a1a90d2b375d6ffc51914fe6
draw,16,A3_minus_A2,brier,-0.00355079840748,-0.00134277342626,,,50,5c1eabf021dc7c7f32301e4a4e09fd874fa0754f5bf3afd48ba6568d12189e56
draw,17,A3_minus_A2,brier,-0.00355079840748,-0.00456264433636,,,50,aed82a9c4c98740abce19b1227bab54c0c0819175e8e07faa6a71b93333ed3cc
draw,18,A3_minus_A2,brier,-0.00355079840748,0.000103006350646,,,50,51bdcfc98e7a3799a408c0daecbfa436eb93de16e2a780f8b8bc6c175d236f0d
draw,19,A3_minus_A2,brier,-0.00355079840748,-0.00259578427267,,,50,fa3b15821bc759097959c854aaaae8f040e51daf43ad390b80ed97682a4d7930
draw,20,A3_minus_A2,brier,-0.00355079840748,-0.000901682545541,,,50,1a6507b3ca89e33feffc7162da044c3e3cc3bb34cb342c8183106ba387d9225b
draw,21,A3_minus_A2,brier,-0.00355079840748,-0.00184717257502,,,50,e97494a5a8e83f7da0d2aa8207b2f87b779fac8a1cd4ef84e0f3020f958d1db1
draw,22,A3_minus_A2,brier,-0.00355079840748,-0.00204158019547,,,50,e6995af51c7821d520c80d93bd45a832a69afbdc5a71e8646cb69a0cd8555298
draw,23,A3_minus_A2,brier,-0.00355079840748,-0.00063560319938,,,50,bf435d79ba8093ea6bfce4e55e8805db1cab546b147e58e1ae3694a672e3675c
draw,24,A3_minus_A2,brier,-0.00355079840748,-0.00233409863777,,,50,c09239acb98cac610aaea21a9df2da961bb81c2117654a4e279d4f919c60673a
draw,25,A3_minus_A2,brier,-0.00355079840748,0.000605928191239,,,50,baf71893415261e950810bc89a99fad039e8471c19f0064553af2f407e4daa31
draw,26,A3_minus_A2,brier,-0.00355079840748,-0.00300445896663,,,50,d5e03ce0c7e17835e66aa474ad39f1e3e63680eb85e4325be9177e6148c8d61c
draw,27,A3_minus_A2,brier,-0.00355079840748,0.000688366128768,,,50,3ea949404f27a3ff0941f685b6bbb750c830aac440f8d3b8d08ef95c9ae2df8a
draw,28,A3_minus_A2,brier,-0.00355079840748,-0.00180762771074,,,50,227e7fffbe02267c8c2ee9df900030c05c4ffb44920473402fb5c6fc02b6315f
draw,29,A3_minus_A2,brier,-0.00355079840748,0.000185640198552,,,50,e5578f2ed470fea7ddd42a8b68fb857b48b5281c199f463746c4f90960f0e7ef
draw,30,A3_minus_A2,brier,-0.00355079840748,-0.000198841931765,,,50,995910f62d49f7fb25420553c628c7563e9a76af808efb11ee62351f3c7a4c2f
draw,31,A3_minus_A2,brier,-0.00355079840748,-0.000745596033163,,,50,019eb27a9ca1ad79bd8441017203e176592640691194f77e69de620a440223e5
draw,32,A3_minus_A2,brier,-0.00355079840748,-0.000967622141671,,,50,b1514d3a6936d8163e3e71c0bc4b611adeea1bf5c90b9937705d7ba7b5824a54
draw,33,A3_minus_A2,brier,-0.00355079840748,-0.00364711816423,,,50,172f2a97c8d659bd2c60fc8f5fcc7ca46a9f9d029c567516bd30bcd335313979
draw,34,A3_minus_A2,brier,-0.00355079840748,-0.00179069730056,,,50,778900b667cee982f3f9ca36a830ce2fab2af7c006e04a1e092010630856dadd
draw,35,A3_minus_A2,brier,-0.00355079840748,-0.00144139237161,,,50,9b53fda4ae23c37b79222aff64532f78c2ef444d43e4a72c2c62fe9759daed6f
