candidate,scope_type,scope_value,horizon,friction_bps,mean_signed_return_bps,mean_cohort_relative_signed_return_bps,positive_selection_pct,rows
price_system,month,2025-02,15_minute_terminal,20,-66.6852802892,-30.3958927652,0.342105263158,38
price_system,month,2025-02,30_minute_terminal,0,-6.62866526846,29.2326869938,0.526315789474,38
price_system,month,2025-02,30_minute_terminal,10,-16.6286652685,19.2326869938,0.526315789474,38
price_system,month,2025-02,30_minute_terminal,20,-26.6286652685,9.23268699384,0.526315789474,38
random_admitted_stock,month,2025-02,15_minute_terminal,0,-58.0505572407,-42.8046858198,0.289473684211,38
random_admitted_stock,month,2025-02,15_minute_terminal,10,-68.0505572407,-52.8046858198,0.263157894737,38
random_admitted_stock,month,2025-02,15_minute_terminal,20,-78.0505572407,-62.8046858198,0.263157894737,38
random_admitted_stock,month,2025-02,30_minute_terminal,0,-49.8718621785,-28.9364142345,0.421052631579,38
random_admitted_stock,month,2025-02,30_minute_terminal,10,-59.8718621785,-38.9364142345,0.421052631579,38
random_admitted_stock,month,2025-02,30_minute_terminal,20,-69.8718621785,-48.9364142345,0.421052631579,38
strongest_one_minute_reversal,month,2025-02,15_minute_terminal,0,19.5366793942,29.9139104405,0.526315789474,38
strongest_one_minute_reversal,month,2025-02,15_minute_terminal,10,9.53667939423,19.9139104405,0.526315789474,38
strongest_one_minute_reversal,month,2025-02,15_minute_terminal,20,-0.463320605766,9.91391044049,0.473684210526,38
strongest_one_minute_reversal,month,2025-02,30_minute_terminal,0,-3.32168370518,5.08522593179,0.526315789474,38
strongest_one_minute_reversal,month,2025-02,30_minute_terminal,10,-13.3216837052,-4.91477406821,0.526315789474,38
strongest_one_minute_reversal,month,2025-02,30_minute_terminal,20,-23.3216837052,-14.9147740682,0.526315789474,38
activity_system,month,2025-03,15_minute_terminal,0,-14.9521057774,4.58285864757,0.526315789474,38
activity_system,month,2025-03,15_minute_terminal,10,-24.9521057774,-5.41714135243,0.5,38
activity_system,month,2025-03,15_minute_terminal,20,-34.9521057774,-15.4171413524,0.473684210526,38
activity_system,month,2025-03,30_minute_terminal,0,-16.2591365109,-4.58399486121,0.447368421053,38
activity_system,month,2025-03,30_minute_terminal,10,-26.2591365109,-14.5839948612,0.447368421053,38
activity_system,month,2025-03,30_minute_terminal,20,-36.2591365109,-24.5839948612,0.421052631579,38
highest_one_minute_relative_momentum,month,2025-03,15_minute_terminal,0,-9.97561825268,5.60409888738,0.421052631579,38
highest_one_minute_relative_momentum,month,2025-03,15_minute_terminal,10,-19.9756182527,-4.39590111262,0.421052631579,38
highest_one_minute_relative_momentum,month,2025-03,15_minute_terminal,20,-29.9756182527,-14.3959011126,0.421052631579,38
highest_one_minute_relative_momentum,month,2025-03,30_minute_terminal,0,-35.8870549765,-28.9391780529,0.421052631579,38
highest_one_minute_relative_momentum,month,2025-03,30_minute_terminal,10,-45.8870549765,-38.9391780529,0.394736842105,38
highest_one_minute_relative_momentum,month,2025-03,30_minute_terminal,20,-55.8870549765,-48.9391780529,0.394736842105,38
interaction_system,month,2025-03,15_minute_terminal,0,-48.0569157404,-31.069137317,0.368421052632,38
interaction_system,month,2025-03,15_minute_terminal,10,-58.0569157404,-41.069137317,0.342105263158,38
interaction_system,month,2025-03,15_minute_terminal,20,-68.0569157404,-51.069137317,0.342105263158,38
interaction_system,month,2025-03,30_minute_terminal,0,-79.2779455821,-42.7574019709,0.315789473684,38
interaction_system,month,2025-03,30_minute_terminal,10,-89.2779455821,-52.7574019709,0.315789473684,38
interaction_system,month,2025-03,30_minute_terminal,20,-99.2779455821,-62.7574019709,0.315789473684,38
price_system,month,2025-03,15_minute_terminal,0,-16.4803663485,-1.12862158445,0.421052631579,38
price_system,month,2025-03,15_minute_terminal,10,-26.4803663485,-11.1286215845,0.421052631579,38
price_system,month,2025-03,15_minute_terminal,20,-36.4803663485,-21.1286215845,0.421052631579,38
price_system,month,2025-03,30_minute_terminal,0,-19.5028489952,5.62018037182,0.394736842105,38
price_system,month,2025-03,30_minute_terminal,10,-29.5028489952,-4.37981962818,0.394736842105,38
price_system,month,2025-03,30_minute_terminal,20,-39.5028489952,-14.3798196282,0.368421052632,38
random_admitted_stock,month,2025-03,15_minute_terminal,0,3.66256086859,-15.5418200776,0.447368421053,38
random_admitted_stock,month,2025-03,15_minute_terminal,10,-6.33743913141,-25.5418200776,0.368421052632,38
random_admitted_stock,month,2025-03,15_minute_terminal,20,-16.3374391314,-35.5418200776,0.368421052632,38
random_admitted_stock,month,2025-03,30_minute_terminal,0,9.84131012443,-2.75886704902,0.5,38
random_admitted_stock,month,2025-03,30_minute_terminal,10,-0.158689875569,-12.758867049,0.473684210526,38
random_admitted_stock,month,2025-03,30_minute_terminal,20,-10.1586898756,-22.758867049,0.473684210526,38
strongest_one_minute_reversal,month,2025-03,15_minute_terminal,0,42.2013605736,26.6841647712,0.578947368421,38
strongest_one_minute_reversal,month,2025-03,15_minute_terminal,10,32.2013605736,16.6841647712,0.552631578947,38
strongest_one_minute_reversal,month,2025-03,15_minute_terminal,20,22.2013605736,6.6841647712,0.526315789474,38
strongest_one_minute_reversal,month,2025-03,30_minute_terminal,0,66.9067653085,41.4318955615,0.657894736842,38
strongest_one_minute_reversal,month,2025-03,30_minute_terminal,10,56.9067653085,31.4318955615,0.605263157895,38
