comparison,earlier_model,later_model,scope,group,rows,sessions,stocks,positive_outcomes,earlier_log_loss,later_log_loss,earlier_brier,later_brier,earlier_auc,later_auc,earlier_average_precision,later_average_precision,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,expected_calibration_error_improvement,top_decile_precision_improvement,top_quintile_precision_improvement,mean_realised_class_probability_improvement
G3-G2,G2,G3,prior_close_atm_iv,high,3600,124,18,1002,0.5677265492995609,0.5653204247094694,0.19141204685436575,0.19048312417451418,0.665067131565549,0.66400337148431,0.42881339646185235,0.4299732233854522,0.002406124590091485,0.0009289226798515626,-0.0010637600812389847,0.0011598269235998382,0.008229697308571433,0.006247526917597224,-0.005151006001654579,0.004595936844383308
G4-G3,G3,G4,prior_close_atm_iv,high,3600,124,18,1002,0.5653204247094694,0.5654544416248785,0.19048312417451418,0.19055427481779905,0.66400337148431,0.6620647374498378,0.4299732233854522,0.42846990067409674,-0.00013401691540904093,-7.115064328486187e-05,-0.001938634034472142,-0.0015033227113554481,-7.368789476069892e-05,-0.008527887178824078,-0.006768332742682404,0.0006704998668299877
G1-G0,G0,G1,front_options_implied_tension,low,6740,144,20,1974,0.5959886932689926,0.5970722258756085,0.203512141215963,0.20397881685794733,0.6091741959521924,0.6049835575421414,0.3915901857176849,0.39043948801365225,-0.0010835326066158668,-0.00046667564198432654,-0.004190638410050962,-0.0011506977040326438,-0.0015523405192257311,-0.011356389242067944,0.004509589479658405,-0.0005487190425376154
G2-G1,G1,G2,front_options_implied_tension,low,6740,144,20,1974,0.5970722258756085,0.584570709070052,0.20397881685794733,0.19843917065770117,0.6049835575421414,0.6483308259462796,0.39043948801365225,0.4388955526432631,0.012501516805556445,0.005539646200246162,0.04334726840413816,0.04845606462961083,-0.009402416240010647,0.06515672441767573,0.05493342021390485,0.007558070060178168
G3-G2,G2,G3,front_options_implied_tension,low,6740,144,20,1974,0.584570709070052,0.5839212805526479,0.19843917065770117,0.1982655599794243,0.6483308259462796,0.6436462981726677,0.4388955526432631,0.43328101399674224,0.000649428517404127,0.00017361067827686982,-0.004684527773611835,-0.005614538646520839,0.006607884614503297,-0.017504981961141808,0.0015303852640534688,0.003619474780997889
G4-G3,G3,G4,front_options_implied_tension,low,6740,144,20,1974,0.5839212805526479,0.5841870689291658,0.1982655599794243,0.1983809522283534,0.6436462981726677,0.6435225078257305,0.43328101399674224,0.4330462797544108,-0.000265788376517917,-0.0001153922489290915,-0.0001237903469372137,-0.0002347342423314469,0.001315362041195596,0.003590322331950613,-0.003196342776559835,-0.00016560826600431344
G1-G0,G0,G1,front_options_implied_tension,high,3525,120,20,947,0.5682172715932898,0.5711835426271534,0.19087281898999625,0.19214879568613413,0.6114899430740615,0.5996169166609331,0.34388138586056416,0.3387890868566277,-0.002966271033863599,-0.0012759766961378816,-0.011873026413128374,-0.005092299003936485,-0.0024258618470392943,-0.004142135271124725,-0.03299433394643114,-0.001342180611716759
G2-G1,G1,G2,front_options_implied_tension,high,3525,120,20,947,0.5711835426271534,0.5514481032805444,0.19214879568613413,0.1840821609830761,0.5996169166609331,0.6761415073988049,0.3387890868566277,0.414912816355966,0.01973543934660904,0.008066634703058045,0.07652459073787177,0.07612372949933832,-0.014813595728718723,0.06498664981191099,0.0770763561082436,0.008328846534676582
G3-G2,G2,G3,front_options_implied_tension,high,3525,120,20,947,0.5514481032805444,0.5486216308996135,0.1840821609830761,0.18299777304056897,0.6761415073988049,0.6750547534199172,0.414912816355966,0.4152897303841737,0.0028264723809309222,0.0010843879425071201,-0.001086753978887689,0.0003769140282077199,0.0011754805384723496,-0.010766976030147035,-0.020123944134714078,0.004779352051066499
G4-G3,G3,G4,front_options_implied_tension,high,3525,120,20,947,0.5486216308996135,0.5485235905358897,0.18299777304056897,0.18296691238483834,0.6750547534199172,0.673466728694343,0.4152897303841737,0.41425931984064207,9.804036372373925e-05,3.0860655730630127e-05,-0.0015880247255741775,-0.0010304105435316457,0.004492867656633592,-0.007122828773000689,-0.005038886532967912,0.0007465971730099552
G1-G0,G0,G1,posterior_transition_probability,high,5107,154,20,1249,0.5571682481579243,0.557575068045831,0.18532813928756617,0.18555820990223182,0.600308753716125,0.6014182077158001,0.34460307231474285,0.34177888561764663,-0.0004068198879066953,-0.0002300706146656506,0.001109453999675103,-0.0028241866970962204,-0.0016964999837451034,-0.015761531858668798,-0.002956322883559792,-0.0003576802304775528
G2-G1,G1,G2,posterior_transition_probability,high,5107,154,20,1249,0.557575068045831,0.5406475882577148,0.18555820990223182,0.1785678986230883,0.6014182077158001,0.6391463068365772,0.34177888561764663,0.3767393758031944,0.016927479788116262,0.006990311279143513,0.037728099120777125,0.034960490185547755,0.020715188848997625,0.08784022879062187,0.1005775908502955,0.01703082195399297
G3-G2,G2,G3,posterior_transition_probability,high,5107,154,20,1249,0.5406475882577148,0.5380967022719585,0.1785678986230883,0.17765994670070528,0.6391463068365772,0.6370347687507935,0.3767393758031944,0.37365152016493375,0.002550885985756257,0.0009079519223830212,-0.002111538085783793,-0.0030878556382606392,0.012025066278051916,-0.0316093689324381,-0.005105207204605278,0.00617293859136514
G4-G3,G3,G4,posterior_transition_probability,high,5107,154,20,1249,0.5380967022719585,0.5380955390331399,0.17765994670070528,0.17766274784881825,0.6370347687507935,0.6362942358269186,0.37365152016493375,0.37341220353413646,1.1632388186022524e-06,-2.801148112963059e-06,-0.0007405329238748815,-0.0002393166307972927,0.0001081895742163011,0.02344878062428818,-0.006323995371925573,0.00022997220004683516
G1-G0,G0,G1,posterior_transition_probability,low,5158,154,20,1672,0.6167980025736205,0.6198758601482931,0.21351398137620073,0.2147820575290435,0.6083345785365811,0.5952498152136145,0.40428297173265626,0.40249203249533816,-0.0030778575746726045,-0.001268076152842773,-0.013084763322966597,-0.001790939237318101,0.0021353672715769545,-0.005690564923915786,-0.00608148952390436,-0.0012923045104007436
G2-G1,G1,G2,posterior_transition_probability,low,5158,154,20,1672,0.6198758601482931,0.6069427964394531,0.2147820575290435,0.20899344240276488,0.5952498152136145,0.6529508716379732,0.40249203249533816,0.46505749457188283,0.012933063708839954,0.005788615126278623,0.05770105642435863,0.06256546207654468,-0.03447969777149121,0.046298663791295214,0.032850422682410896,-0.0016598246250729698
G3-G2,G2,G3,posterior_transition_probability,low,5158,154,20,1672,0.6069427964394531,0.6067495819405297,0.20899344240276488,0.20894776354526085,0.6529508716379732,0.6493669959748207,0.46505749457188283,0.46216449305100193,0.0001932144989233997,4.567885750403344e-05,-0.003583875663152436,-0.0028930015208809,0.0009620783643159922,-0.011585392510824188,-0.005385704471990438,0.001791043223094424
G4-G3,G3,G4,posterior_transition_probability,low,5158,154,20,1672,0.6067495819405297,0.6070393087876677,0.20894776354526085,0.20907821392219456,0.6493669959748207,0.6486343184521479,0.46216449305100193,0.4610675865425006,-0.00028972684713790553,-0.00013045037693371064,-0.0007326775226728088,-0.0010969065085013607,0.002793097304775595,-0.004320282482535409,-0.0021854892686822835,5.6092417265452e-05
