comparison,earlier_model,later_model,scope,group,rows,sessions,stocks,positive_outcomes,earlier_log_loss,later_log_loss,earlier_brier,later_brier,earlier_auc,later_auc,earlier_average_precision,later_average_precision,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,expected_calibration_error_improvement,top_decile_precision_improvement,top_quintile_precision_improvement,mean_realised_class_probability_improvement
G4-G3,G3,G4,month,2025-05,1264,20,18,324,0.5640155271969279,0.5635627804768504,0.18899033526983403,0.1888291640959719,0.6505666364471245,0.6512498732185079,0.41606735439842035,0.41519169234959113,0.000452746720077557,0.00016117117386213464,0.0006832367713833776,-0.0008756620488292177,-0.000698292496010694,-0.019874256601192797,-0.004155859714522481,0.0007503572948555082
G1-G0,G0,G1,month,2025-06,1278,19,19,328,0.5761554127551779,0.5750429650125563,0.19416135757657046,0.19367511343015395,0.6055100483650888,0.6216533352528305,0.36202907862531075,0.3731500581355897,0.0011124477426216473,0.0004862441464165146,0.016143286887741692,0.011120979510278961,-0.007858926237016006,0.015693622036963784,-0.011032503349558576,-0.0018156445009605005
G2-G1,G1,G2,month,2025-06,1278,19,19,328,0.5750429650125563,0.5711264620869339,0.19367511343015395,0.19223752012497178,0.6216533352528305,0.6312468444780075,0.3731500581355897,0.37138109621037796,0.0039165029256224,0.001437593305182172,0.009593509225176988,-0.0017689619252117539,0.005798993564523028,0.024246011820665214,0.040705577521627956,0.007769937533528282
G3-G2,G2,G3,month,2025-06,1278,19,19,328,0.5711264620869339,0.5687224065110504,0.19223752012497178,0.19132861305643842,0.6312468444780075,0.6261045182073892,0.37138109621037796,0.36624250379788015,0.0024040555758834126,0.00090890706853336,-0.00514232627061828,-0.005138592412497811,0.0061246337375433085,-0.1334697798290978,-0.012697594777391907,0.005008238933442377
G4-G3,G3,G4,month,2025-06,1278,19,19,328,0.5687224065110504,0.5688015813915852,0.19132861305643842,0.19136469776271334,0.6261045182073892,0.626002060901619,0.36624250379788015,0.3667137720781338,-7.91748805347714e-05,-3.608470627491922e-05,-0.00010245730577018719,0.0004712682802536783,0.003744543176972398,0.04680114460398732,-0.0006178687211711442,5.494381978499163e-05
G1-G0,G0,G1,month,2025-07,1667,22,20,438,0.5724001003581326,0.5744113024528091,0.19224837678900794,0.19308918012418022,0.5982626430454562,0.6088382147799146,0.35889835916451673,0.3722699270234009,-0.002011202094676534,-0.0008408033351722799,0.010575571734458444,0.013371567858884159,-0.011953879457781771,0.018156888114071346,0.008426498402197058,-0.004533229666404348
G2-G1,G1,G2,month,2025-07,1667,22,20,438,0.5744113024528091,0.5560327135806513,0.19308918012418022,0.18549981326277623,0.6088382147799146,0.6561612498686519,0.3722699270234009,0.4126147779634617,0.01837858887215782,0.00758936686140399,0.04732303508873725,0.040344850940060795,0.0057451609835268425,0.08806407069545541,0.06278703106462319,0.01596693272465044
G3-G2,G2,G3,month,2025-07,1667,22,20,438,0.5560327135806513,0.5516996890592696,0.18549981326277623,0.18376098142677066,0.6561612498686519,0.65580784740737,0.4126147779634617,0.4123762409866578,0.004333024521381734,0.0017388318360055666,-0.0003534024612819042,-0.00023853697680387143,0.010823026718766615,0.0008551860871172101,-0.0009186779582369686,0.005603113535314175
G4-G3,G3,G4,month,2025-07,1667,22,20,438,0.5516996890592696,0.5515009109556716,0.18376098142677066,0.18371009864099383,0.65580784740737,0.656187831042341,0.4123762409866578,0.4138968246288306,0.0001987781035980296,5.088278577683458e-05,0.00037998363497104837,0.0015205836421727792,-0.0016014857761930401,0.0005904785805184165,-0.014436057260025503,0.00033174256111256906
G1-G0,G0,G1,month,2025-08,1492,16,20,415,0.5794797583809134,0.5765926872174651,0.19642021102973892,0.19523753715023337,0.6361375776217484,0.6415522409119943,0.38750363349544603,0.4065840519382499,0.0028870711634482182,0.001182673879505547,0.005414663290245869,0.019080418442803893,-0.005903397233053775,-0.02778850893638618,-0.003783068753004437,0.002415173289572081
G2-G1,G1,G2,month,2025-08,1492,16,20,415,0.5765926872174651,0.5595144447812603,0.19523753715023337,0.18780814529408466,0.6415522409119943,0.6903576361856105,0.4065840519382499,0.461602416881603,0.017078242436204816,0.007429391856148715,0.04880539527361627,0.05501836494335305,-0.0017590895956631422,0.05080656369490544,0.07962252262223646,0.010679194880126808
G3-G2,G2,G3,month,2025-08,1492,16,20,415,0.5595144447812603,0.5573354033476279,0.18780814529408466,0.18707180018330202,0.6903576361856105,0.6911810023085961,0.461602416881603,0.461471104014759,0.002179041433632456,0.0007363451107826324,0.0008233661229856137,-0.00013131286684398003,-0.00346050193947417,-0.030452549356417835,0.0013908755974933462,0.004010057819180068
G4-G3,G3,G4,month,2025-08,1492,16,20,415,0.5573354033476279,0.5572763525183616,0.18707180018330202,0.18703825009791894,0.6911810023085961,0.6906155178590007,0.461471104014759,0.46013461106718956,5.90508292662717e-05,3.3550085383082795e-05,-0.0005654844495954769,-0.0013364929475694343,-0.003806187439692771,-0.018633275853651377,0.001083918270105566,0.00033683842478804404
