statistic,confidence,point_estimate,lower,upper,draws,fixed_prediction,whole_session_resampling,shared_session_draws,coarse_quick_screen_diagnostic
G4_minus_G3_average_precision_improvement,0.9,-0.0004921338376412399,-0.001041672417663897,0.0007763423879748232,10,True,True,True,True
G4_minus_G3_average_precision_improvement,0.95,-0.0004921338376412399,-0.0011482861931930433,0.0008977270734620944,10,True,True,True,True
G4_minus_G3_top_decile_precision_improvement,0.8,0.000999623495819335,-0.004608256219838464,0.005020590557432724,10,True,True,True,True
G4_minus_G3_top_decile_precision_improvement,0.9,0.000999623495819335,-0.006125532910582352,0.005560157600283232,10,True,True,True,True
G4_minus_G3_top_decile_precision_improvement,0.95,0.000999623495819335,-0.006884171255954295,0.005829941121708488,10,True,True,True,True
G4_top_decile_mean_iv_residual,0.8,0.0017328178924464258,0.0011404652690964394,0.0020514792225738566,10,True,True,True,True
G4_top_decile_mean_iv_residual,0.9,0.0017328178924464258,0.00104523372222948,0.002099954320966175,10,True,True,True,True
G4_top_decile_mean_iv_residual,0.95,0.0017328178924464258,0.0009976179487960002,0.002124191870162334,10,True,True,True,True
G4_top_decile_median_iv_residual,0.8,-0.000663789769719382,-0.001306652940574509,-0.00013560377226113854,10,True,True,True,True
G4_top_decile_median_iv_residual,0.9,-0.000663789769719382,-0.0013277071119681535,-2.44212289226659e-05,10,True,True,True,True
G4_top_decile_median_iv_residual,0.95,-0.000663789769719382,-0.0013382341976649757,3.1170042746570845e-05,10,True,True,True,True
G4_top_decile_exceed_iv_rate,0.8,0.47713094515440974,0.4497179247916117,0.49376779578993313,10,True,True,True,True
G4_top_decile_exceed_iv_rate,0.9,0.47713094515440974,0.44409185103356225,0.49848411456309066,10,True,True,True,True
G4_top_decile_exceed_iv_rate,0.95,0.47713094515440974,0.44127881415453746,0.5008422739496694,10,True,True,True,True
G4_minus_G0_top_decile_mean_iv_residual_difference,0.8,0.0005933575586699574,3.917945491953668e-06,0.000945194116521507,10,True,True,True,True
G4_minus_G0_top_decile_mean_iv_residual_difference,0.9,0.0005933575586699574,-0.00017191929035748367,0.0009990880108336961,10,True,True,True,True
G4_minus_G0_top_decile_mean_iv_residual_difference,0.95,0.0005933575586699574,-0.00025983790828220223,0.0010260349579897907,10,True,True,True,True
G4_minus_G0_top_decile_median_iv_residual_difference,0.8,0.0002302589858691772,-8.404988982894988e-05,0.00031914536563900124,10,True,True,True,True
G4_minus_G0_top_decile_median_iv_residual_difference,0.9,0.0002302589858691772,-0.00024606926542961494,0.0005803054608758038,10,True,True,True,True
