model_name,scope,probability_bin_lower,probability_bin_upper,rows,mean_probability,observed_positive_rate,absolute_calibration_error
payoff_only_change_point,2025,0.1,0.2,99,0.14748492486443504,0.45454545454545453,0.3070605296810195
payoff_only_change_point,2025,0.2,0.30000000000000004,127,0.24810666437486517,0.4881889763779528,0.2400823120030876
payoff_only_change_point,2025,0.30000000000000004,0.4,115,0.34797649028137734,0.5478260869565217,0.19984959667514435
payoff_only_change_point,2025,0.4,0.5,116,0.45087496685716055,0.4396551724137931,0.011219794443367459
payoff_only_change_point,2025,0.5,0.6000000000000001,128,0.5502276587612047,0.5234375,0.02679015876120472
payoff_only_change_point,2025,0.6000000000000001,0.7000000000000001,131,0.6524766939011192,0.5267175572519084,0.1257591366492108
payoff_only_change_point,2025,0.7000000000000001,0.8,124,0.7514421470979982,0.5080645161290323,0.24337763096896592
payoff_only_change_point,2025,0.8,0.9,141,0.8544950658518274,0.48936170212765956,0.3651333637241679
payoff_only_change_point,2025,0.9,1.0,206,0.9693378147425781,0.4320388349514563,0.5372989797911218
payoff_only_change_point,2023,0.0,0.1,207,0.035297138768132535,0.4782608695652174,0.44296373079708484
payoff_only_change_point,2023,0.1,0.2,169,0.1520267380888487,0.38461538461538464,0.23258864652653594
payoff_only_change_point,2023,0.2,0.30000000000000004,144,0.2481109498743914,0.375,0.1268890501256086
payoff_only_change_point,2023,0.30000000000000004,0.4,126,0.3480827854268686,0.5238095238095238,0.17572673838265523
payoff_only_change_point,2023,0.4,0.5,135,0.4481089351871706,0.5037037037037037,0.055594768516533055
payoff_only_change_point,2023,0.5,0.6000000000000001,137,0.5515722754947745,0.41605839416058393,0.13551388133419057
payoff_only_change_point,2023,0.6000000000000001,0.7000000000000001,123,0.6475262455509035,0.5284552845528455,0.11907096099805803
payoff_only_change_point,2023,0.7000000000000001,0.8,106,0.7451910518541484,0.41509433962264153,0.33009671223150683
payoff_only_change_point,2023,0.8,0.9,103,0.8498400072603356,0.44660194174757284,0.40323806551276276
payoff_only_change_point,2023,0.9,1.0,170,0.960837549406556,0.40588235294117647,0.5549551964653795
hierarchical_change_point,pooled,0.0,0.1,225,0.05548385960164277,0.48444444444444446,0.4289605848428017
hierarchical_change_point,pooled,0.1,0.2,325,0.15346993680723572,0.4369230769230769,0.2834531401158412
hierarchical_change_point,pooled,0.2,0.30000000000000004,337,0.250204810410016,0.44807121661721067,0.19786640620719465
hierarchical_change_point,pooled,0.30000000000000004,0.4,309,0.35043986451247644,0.4886731391585761,0.13823327464609964
hierarchical_change_point,pooled,0.4,0.5,294,0.4502934404781375,0.46598639455782315,0.015692954079685628
hierarchical_change_point,pooled,0.5,0.6000000000000001,309,0.5486365745090154,0.4919093851132686,0.05672718939574678
hierarchical_change_point,pooled,0.6000000000000001,0.7000000000000001,287,0.6493480477365241,0.46689895470383275,0.18244909303269136
hierarchical_change_point,pooled,0.7000000000000001,0.8,260,0.7512401933915861,0.5423076923076923,0.20893250108389383
hierarchical_change_point,pooled,0.8,0.9,255,0.8506455541637314,0.45098039215686275,0.3996651620068687
hierarchical_change_point,pooled,0.9,1.0,200,0.9414939444198154,0.405,0.5364939444198153
hierarchical_change_point,2025,0.0,0.1,108,0.05505505715926981,0.5370370370370371,0.48198197987776725
hierarchical_change_point,2025,0.1,0.2,132,0.15430276353413336,0.45454545454545453,0.30024269101132117
hierarchical_change_point,2025,0.2,0.30000000000000004,150,0.25030882589176323,0.5133333333333333,0.2630245074415701
hierarchical_change_point,2025,0.30000000000000004,0.4,149,0.3508219555564201,0.4228187919463087,0.07199683638988863
hierarchical_change_point,2025,0.4,0.5,142,0.4513833730787846,0.4859154929577465,0.034532119878961876
hierarchical_change_point,2025,0.5,0.6000000000000001,170,0.5468462778364445,0.5294117647058824,0.0174345131305621
hierarchical_change_point,2025,0.6000000000000001,0.7000000000000001,150,0.6521147719946598,0.5133333333333333,0.13878143866132653
hierarchical_change_point,2025,0.7000000000000001,0.8,128,0.7531187206593295,0.5859375,0.1671812206593295
hierarchical_change_point,2025,0.8,0.9,140,0.8495692171607288,0.45714285714285713,0.3924263600178716
hierarchical_change_point,2025,0.9,1.0,112,0.9436373726075009,0.41964285714285715,0.5239945154646437
hierarchical_change_point,2023,0.0,0.1,117,0.05587967724075626,0.4358974358974359,0.38001775865667964
hierarchical_change_point,2023,0.1,0.2,193,0.1529003351080104,0.42487046632124353,0.2719701312132331
hierarchical_change_point,2023,0.2,0.30000000000000004,187,0.2501213755316092,0.39572192513368987,0.1456005496020807
hierarchical_change_point,2023,0.30000000000000004,0.4,160,0.350084042227804,0.55,0.19991595777219606
hierarchical_change_point,2023,0.4,0.5,152,0.44927521396963815,0.4473684210526316,0.0019067929170065723
hierarchical_change_point,2023,0.5,0.6000000000000001,139,0.5508261459790663,0.4460431654676259,0.10478298051144042
hierarchical_change_point,2023,0.6000000000000001,0.7000000000000001,137,0.6463187875998789,0.41605839416058393,0.230260393439295
hierarchical_change_point,2023,0.7000000000000001,0.8,132,0.7494185911925623,0.5,0.24941859119256227
hierarchical_change_point,2023,0.8,0.9,115,0.8519558774717346,0.4434782608695652,0.4084776166021694
hierarchical_change_point,2023,0.9,1.0,88,0.9387659449082159,0.38636363636363635,0.5524023085445795
