period,population,horizon_minutes,sigma_boundary,rows,sessions,stocks,containment_rate,one_sided_breach_rate,two_sided_breach_rate,any_breach_rate,mean_distance_beyond_boundary_when_breached,median_distance_beyond_boundary_when_breached,maximum_breach,mean_time_to_breach_minutes,median_time_to_breach_minutes,breach_mean_reverted_rate,up_breach_rate,down_breach_rate,both_breach_rate
assessment,M1C_bottom_10_fresh_episode,15,1.5,308,123,20,0.9675324675324675,0.03246753246753247,0.0,0.03246753246753247,0.006491340368502303,0.004222727232015031,0.022018204089344205,12.499999999999998,12.499999999999998,0.30000000000000004,0.02272727272727273,0.009740259740259742,0.0
assessment,M1C_bottom_10_fresh_episode,15,2.0,308,123,20,0.987012987012987,0.012987012987012988,0.0,0.012987012987012988,0.005763865204724107,0.0019989565670560736,0.018355505903392536,13.75,15.0,0.25,0.012987012987012988,0.0,0.0
assessment,M1C_bottom_10_fresh_episode,30,1.0,308,123,20,0.8409090909090909,0.15909090909090912,0.0,0.15909090909090912,0.006000411974677719,0.0031472801036017024,0.02289441833028735,21.63265306122449,20.0,0.5102040816326531,0.08116883116883118,0.07792207792207793,0.0
assessment,M1C_bottom_10_fresh_episode,30,1.5,308,123,20,0.9512987012987013,0.048701298701298704,0.0,0.048701298701298704,0.006100896195399333,0.0056929506527245806,0.017466786298842664,23.000000000000004,25.0,0.6000000000000001,0.025974025974025976,0.02272727272727273,0.0
assessment,M1C_bottom_10_fresh_episode,30,2.0,308,123,20,0.9805194805194806,0.019480519480519484,0.0,0.019480519480519484,0.0041001284178926265,0.0023732499583336212,0.012286948849390487,24.999999999999996,27.5,0.8333333333333334,0.009740259740259742,0.009740259740259742,0.0
assessment,M1C_bottom_10_fresh_episode,60,1.0,106,65,18,0.8773584905660378,0.12264150943396229,0.0,0.12264150943396229,0.008086652002201046,0.0065838687717267,0.020330983750650202,37.6923076923077,40.0,0.46153846153846156,0.08490566037735851,0.03773584905660378,0.0
assessment,M1C_bottom_10_fresh_episode,60,1.5,106,65,18,0.9622641509433962,0.03773584905660378,0.0,0.03773584905660378,0.004514221535047221,0.005229921686169637,0.007083909408664768,51.25,52.5,0.75,0.028301886792452838,0.009433962264150945,0.0
assessment,M1C_bottom_10_fresh_episode,60,2.0,106,65,18,0.990566037735849,0.009433962264150945,0.0,0.009433962264150945,0.0005707987462692243,0.0005707987462692243,0.0005707987462692243,60.0,60.0,1.0,0.0,0.009433962264150945,0.0
assessment,M0_bottom_10_fresh_episode,15,1.0,514,141,20,0.7879377431906615,0.21011673151750973,0.0019455252918287938,0.21206225680933852,0.004237189634988681,0.0026424513418071252,0.03053740148677254,11.513761467889912,10.0,0.5137614678899085,0.11089494163424125,0.09922178988326849,0.0019455252918287938
assessment,M0_bottom_10_fresh_episode,15,1.5,514,141,20,0.9474708171206226,0.05252918287937743,0.0,0.05252918287937743,0.005823449999376585,0.003950526507917027,0.025224805863486043,11.11111111111111,10.0,0.4444444444444445,0.02529182879377432,0.027237354085603113,0.0
assessment,M0_bottom_10_fresh_episode,15,2.0,514,141,20,0.9824902723735406,0.017509727626459144,0.0,0.017509727626459144,0.007066243800852374,0.004738698034495115,0.01991221024019954,11.11111111111111,10.0,0.4444444444444445,0.00972762645914397,0.007782101167315175,0.0
assessment,M0_bottom_10_fresh_episode,30,1.0,514,141,20,0.8054474708171206,0.19455252918287935,0.0,0.19455252918287935,0.007192488533939412,0.004666370118804466,0.042954278651131474,20.600000000000005,20.0,0.47000000000000014,0.0933852140077821,0.10116731517509728,0.0
assessment,M0_bottom_10_fresh_episode,30,1.5,514,141,20,0.9396887159533075,0.060311284046692615,0.0,0.060311284046692615,0.0075236223042440065,0.004878040587625285,0.03315063150103836,21.93548387096774,20.000000000000018,0.48387096774193544,0.029182879377431907,0.031128404669260708,0.0
assessment,M0_bottom_10_fresh_episode,30,2.0,514,141,20,0.9785992217898832,0.021400778210116735,0.0,0.021400778210116735,0.008366537122390773,0.006663408154717419,0.02334698435094526,21.363636363636363,20.0,0.45454545454545453,0.013618677042801557,0.007782101167315175,0.0
assessment,M0_bottom_10_fresh_episode,60,1.0,133,75,16,0.7894736842105265,0.21052631578947373,0.0,0.21052631578947373,0.010644748522030883,0.006124620097249999,0.02970319038457106,37.32142857142856,40.0,0.5,0.09774436090225566,0.11278195488721807,0.0
assessment,M0_bottom_10_fresh_episode,60,1.5,133,75,16,0.9172932330827068,0.08270676691729326,0.0,0.08270676691729326,0.00829983880090337,0.006387466396491008,0.014862384885458109,43.63636363636364,45.0,0.36363636363636365,0.03759398496240602,0.04511278195488723,0.0
assessment,M0_bottom_10_fresh_episode,60,2.0,133,75,16,0.9924812030075186,0.007518796992481204,0.0,0.007518796992481204,0.005708573532457392,0.005708573532457392,0.005708573532457392,50.0,50.0,0.0,0.007518796992481204,0.0,0.0
stress,full_checkpoint_population,15,1.0,18135,68,20,0.6469405971671833,0.3468591831129596,0.006200219719857183,0.3530594028328168,0.005952337113297671,0.0037900974063544116,0.07571355768314125,10.414878159233421,10.0,0.49297515954180876,0.16827794561933537,0.18417722760623068,0.0006042296072507554
stress,full_checkpoint_population,15,1.5,18135,68,20,0.8669125436497037,0.1324832267430455,0.0006042296072507554,0.13308745635029623,0.0060883361096780424,0.0038762279322783135,0.0705464322382495,11.432377653301886,10.0,0.5109006485849057,0.05887118923372702,0.07421626711656924,0.0
stress,full_checkpoint_population,15,2.0,18135,68,20,0.9492133244399107,0.050676815631498416,0.00010985992859104643,0.050786675560089464,0.0062954400979366035,0.0041770274355370455,0.06537930679335772,12.199667799752781,15.0,0.5059100741656366,0.02086652018676188,0.02992015537332758,0.0
stress,full_checkpoint_population,30,1.0,18133,68,20,0.6678188670356848,0.3272965492874808,0.004884583676834295,0.3321811329643152,0.008406551165083417,0.005600499626479751,0.09123562407445912,18.291482748636497,20.0,0.4845449764525832,0.15829211321791703,0.17388901974639814,0.0
stress,full_checkpoint_population,30,1.5,18133,68,20,0.8719634514976642,0.12759686727122838,0.00043968123110744707,0.1280365485023358,0.008219706523717655,0.005393573112909079,0.08392820519181009,20.992457400409325,20.0,0.5021041093370331,0.055496015388843085,0.07254053311349272,0.0
stress,full_checkpoint_population,30,2.0,18133,68,20,0.9531346916342794,0.04675538805794371,0.00010992030777686177,0.046865308365720566,0.008280593988719357,0.00594353630580276,0.07662078630916104,22.75171720556207,25.0,0.5146171888088457,0.01884446276449574,0.028020845601224826,0.0
stress,full_checkpoint_population,60,1.0,14513,68,20,0.6653409981965028,0.33061093468203556,0.0040480671214616175,0.33465900180349717,0.011848820966446159,0.007622557378380341,0.12410237097625611,32.882249785828826,30.0,0.4751195331434471,0.15410099584411513,0.1804893946522387,6.861130714341724e-05
stress,full_checkpoint_population,60,1.5,14513,68,20,0.8737882753077706,0.1259372794636556,0.00027444522857366895,0.12621172469222927,0.011912556105350365,0.00832471430988346,0.10865226438598322,38.62837700096105,40.0,0.4722801976449574,0.049923302360228974,0.07628842233200032,0.0
stress,full_checkpoint_population,60,2.0,14513,68,20,0.9515702187720535,0.04836116992080294,6.861130714341724e-05,0.04842978122794637,0.01154930098281876,0.007298959402210536,0.09320215779571034,43.29437360858127,45.0,0.45866221412669494,0.016929840037638203,0.03149994119030817,0.0
stress,M1C_bottom_10_fresh_episode,15,1.0,541,63,20,0.9075785582255085,0.0924214417744917,0.0,0.0924214417744917,0.0036014885100006454,0.0022417557654216855,0.025350112523782536,13.2,15.0,0.48,0.06099815157116452,0.031423290203327174,0.0
stress,M1C_bottom_10_fresh_episode,15,1.5,541,63,20,0.9796672828096118,0.020332717190388174,0.0,0.020332717190388174,0.0032791998361716094,0.002346225018413757,0.015586005900064183,14.545454545454545,15.0,0.6363636363636365,0.011090573012939003,0.00924214417744917,0.0
stress,M1C_bottom_10_fresh_episode,15,2.0,541,63,20,0.9963031423290204,0.0036968576709796677,0.0,0.0036968576709796677,0.003702026153204252,0.003702026153204252,0.005821899276345827,15.0,15.0,0.5,0.0036968576709796677,0.0,0.0
stress,M1C_bottom_10_fresh_episode,30,1.0,541,63,20,0.8983364140480592,0.10166358595194086,0.0,0.10166358595194086,0.0039478415541919516,0.0019321810714288017,0.02446696030368962,23.18181818181818,25.0,0.6545454545454547,0.06469500924214418,0.03696857670979668,0.0
stress,M1C_bottom_10_fresh_episode,30,1.5,541,63,20,0.9833641404805915,0.016635859519408505,0.0,0.016635859519408505,0.0043780545237365924,0.0017901486563575465,0.012251384458438833,22.77777777777778,25.0,0.6666666666666667,0.011090573012939003,0.005545286506469502,0.0
stress,M1C_bottom_10_fresh_episode,30,2.0,541,63,20,0.9944547134935307,0.005545286506469502,0.0,0.005545286506469502,0.0016209269107741752,0.0005712065658973371,0.004255765553237142,30.0,30.0,0.6666666666666666,0.0036968576709796677,0.0018484288354898338,0.0
stress,M1C_bottom_10_fresh_episode,60,1.0,247,59,20,0.9068825910931173,0.09311740890688261,0.0,0.09311740890688261,0.004296361441674946,0.0024633757642721563,0.01788469146620259,43.47826086956521,45.0,0.6086956521739131,0.056680161943319846,0.036437246963562764,0.0
stress,M1C_bottom_10_fresh_episode,60,1.5,247,59,20,0.991902834008097,0.008097165991902834,0.0,0.008097165991902834,0.004345576992637434,0.004345576992637434,0.005212550481846483,34.99999999999999,35.0,1.0,0.004048582995951417,0.004048582995951417,0.0
stress,M1C_bottom_10_fresh_episode,60,2.0,247,59,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
stress,M0_bottom_10_fresh_episode,15,1.0,899,68,20,0.7920076269166602,0.2057678557241599,0.0022245173591801067,0.20799237308333998,0.0050870619610016285,0.0028213528450495113,0.04730538490246094,11.417112299465241,10.0,0.518716577540107,0.11789942003654566,0.08786843568761424,0.0022245173591801067
stress,M0_bottom_10_fresh_episode,15,1.5,899,68,20,0.937713513942957,0.06117422737745295,0.0011122586795900534,0.062286486057043,0.006075100581363403,0.003035340153282131,0.04213825945756918,11.875000000000002,15.0,0.625,0.035592277746881715,0.026694208310161283,0.0
stress,M0_bottom_10_fresh_episode,15,2.0,899,68,20,0.9799793437673789,0.020020656232620965,0.0,0.020020656232620965,0.008017704186873965,0.004435950938193012,0.03697113401267742,12.222222222222221,12.5,0.5,0.010010328116310481,0.010010328116310481,0.0
stress,M0_bottom_10_fresh_episode,30,1.0,899,68,20,0.7830301104313976,0.21585763088901253,0.0011122586795900534,0.21696988956860258,0.0064042429946058275,0.0037056853966372415,0.048816410525599735,20.591358476748447,20.0,0.46686195532771885,0.11345038531818544,0.10351950425041712,0.0
stress,M0_bottom_10_fresh_episode,30,1.5,899,68,20,0.9432748073409074,0.056725192659092726,0.0,0.056725192659092726,0.007573263693135759,0.0045304258937238955,0.0415089916429507,21.666666666666664,25.0,0.5490196078431372,0.02891872566934139,0.027806466989751335,0.0
stress,M0_bottom_10_fresh_episode,30,2.0,899,68,20,0.9833161198061492,0.0166838801938508,0.0,0.0166838801938508,0.010700117792253458,0.006581419525336883,0.034201572760301654,21.000000000000007,20.0,0.4666666666666667,0.007785810757130374,0.008898069436720427,0.0
stress,M0_bottom_10_fresh_episode,60,1.0,338,64,17,0.7897739277413901,0.20726811747306145,0.002957954785548278,0.21022607225860976,0.008893073221575759,0.006433736650683073,0.043587391685580776,38.66331658291458,40.0,0.5206030150753771,0.11536023663638285,0.09486583562222693,0.0
stress,M0_bottom_10_fresh_episode,60,1.5,338,64,17,0.9437988590745827,0.05620114092541729,0.0,0.05620114092541729,0.00971002355670724,0.005136108365714036,0.03325314079579726,37.36842105263158,40.0,0.5789473684210527,0.029579547855482783,0.0266215930699345,0.0
stress,M0_bottom_10_fresh_episode,60,2.0,338,64,17,0.9822522712867102,0.017747728713289668,0.0,0.017747728713289668,0.011477949082308979,0.008994384907905762,0.02291888990601374,28.333333333333336,32.5,0.6666666666666667,0.011831819142193112,0.005915909571096556,0.0
