period,stock,rows,sessions,stocks,months,positive_movement_exceeds_iv_outcomes,negative_movement_remains_below_iv_outcomes,maximum_stock_share,maximum_month_share,maximum_session_share,remains_below_iv_rate,movement_exceeds_iv_rate,mean_absolute_movement,median_absolute_movement,mean_iv_expectation,median_iv_expectation,mean_iv_residual,median_iv_residual,trimmed_mean_iv_residual_10_percent,mean_terminal_iv_ratio,median_terminal_iv_ratio,absolute_movement_p90,absolute_movement_p95,absolute_movement_p99,maximum_absolute_movement,mean_maximum_absolute_excursion,median_maximum_absolute_excursion,mean_excursion_sigma_ratio,terminal_above_1_0x_iv_expected_rate,excursion_above_1_0x_iv_sigma_rate,terminal_above_1_25x_iv_expected_rate,excursion_above_1_25x_iv_sigma_rate,terminal_above_1_5x_iv_expected_rate,excursion_above_1_5x_iv_sigma_rate,terminal_above_2_0x_iv_expected_rate,excursion_above_2_0x_iv_sigma_rate,surprise_1_5_sigma_rate,surprise_2_0_sigma_rate,npv_lift,relative_surprise_1_5_sigma_reduction,relative_surprise_2_0_sigma_reduction
assessment,MSTR,38,21,1,5,12,26,1.0,0.2631578947368421,0.10526315789473684,0.6842105263157892,0.3157894736842104,0.003997003350986998,0.0033147167022077127,0.005590090131582328,0.005403957854984223,-0.0015930867805953287,-0.0020430937670056163,-0.001785969942706918,0.7209327052522385,0.6284388888942027,0.008351935038907412,0.009859381498785527,0.012649404365752116,0.012649404365752116,0.0057932666293100685,0.004689298190116997,0.8341807589160343,0.3157894736842104,0.3157894736842104,0.2105263157894736,0.21052631578947362,0.1052631578947368,0.0789473684210526,0.0,0.0,0.0789473684210526,0.0,-0.019057447540419936,0.5008699434536759,1.0
assessment,NVTS,1,1,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.011945435408021576,0.011945435408021576,-0.011945435408021576,-0.011945435408021576,-0.011945435408021576,0.0,0.0,0.0,0.0,0.0,0.0,0.004273510777382162,0.004273510777382162,0.28544528960245386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2407407407407408,1.0,1.0
assessment,QBTS,11,6,1,2,0,11,1.0,0.5454545454545454,0.2727272727272727,1.0,0.0,0.00363238519899197,0.0038673855689554675,0.010907383715706508,0.010098690906892853,-0.007274998516714537,-0.007041296182187054,-0.007139719670834342,0.3287053174608048,0.35767179937242516,0.006313862736765817,0.007016550768593229,0.007080431498759358,0.007080431498759358,0.007696496199159533,0.007093234852986889,0.5785770772686961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26868686868686853,1.0,1.0
assessment,RGTI,93,31,1,7,9,84,1.0,0.23655913978494625,0.06451612903225806,0.903225806451613,0.09677419354838712,0.004866908125250822,0.004178301320205531,0.010893275793532586,0.010798058520210587,-0.006026367668281765,-0.006919007858886421,-0.006388328167808406,0.44662624024861486,0.377199748275442,0.01005241645472432,0.014247577353493012,0.02083461715766243,0.022351875490179876,0.007905030744968776,0.0067038243636093255,0.5810759405930916,0.09677419354838712,0.0860215053763441,0.04301075268817205,0.04301075268817205,0.021505376344086027,0.010752688172043013,0.0,0.0,0.010752688172043013,0.0,0.1444379276637341,0.9138740995928594,1.0
assessment,RIOT,38,25,1,7,5,33,1.0,0.23684210526315788,0.13157894736842105,0.8684210526315788,0.131578947368421,0.004898409798361571,0.003823020926379531,0.0086424337900258,0.008144995896891718,-0.0037440239916642277,-0.0042124910935880736,-0.004003397924738964,0.5585255455958243,0.4848517931598258,0.010137795509510428,0.01321688012442979,0.014717043326109102,0.014717043326109102,0.007556915604243484,0.006569808844969867,0.6852532603057154,0.131578947368421,0.1052631578947368,0.0789473684210526,0.0789473684210526,0.0263157894736842,0.0526315789473684,0.0,0.0263157894736842,0.0526315789473684,0.0263157894736842,0.13998189919242543,0.6028994642294361,0.46375372393247294
assessment,RIVN,83,21,1,5,9,74,1.0,0.37349397590361444,0.10843373493975904,0.8915662650602408,0.10843373493975907,0.003212784616226301,0.00265008683015397,0.006803277981132485,0.005637326822500754,-0.0035904933649061853,-0.0035741720065249195,-0.0036166865665519903,0.490891384473507,0.4333017653980237,0.0062884543449082874,0.008271720695339348,0.012842544354137012,0.01285461935055585,0.004839909234518617,0.003943364134889205,0.5916063443344528,0.10843373493975907,0.10843373493975907,0.06024096385542169,0.06024096385542171,0.02409638554216868,0.01204819277108434,0.0,0.0,0.01204819277108434,0.0,0.1654401389341147,0.924868011371328,1.0
assessment,SMCI,60,23,1,6,6,54,1.0,0.45,0.2,0.9000000000000001,0.1,0.003863821841597636,0.0023158832957913093,0.01060835690332125,0.010442213969953094,-0.006744535061723615,-0.006521051134213028,-0.007265764698106779,0.3913122510366053,0.25496153149563827,0.008803128544495862,0.013051363996141185,0.016093384738171318,0.016100232780307953,0.006587186184527151,0.005547791927168028,0.5317892632830067,0.1,0.08333333333333334,0.08333333333333334,0.05,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.0,0.03333333333333333,0.0,0.11794871794871808,0.6623376623376623,1.0
assessment,SOFI,90,27,1,7,9,81,1.0,0.28888888888888886,0.13333333333333333,0.8999999999999999,0.10000000000000003,0.002867678314721204,0.0020318540556321773,0.007510335258117552,0.006147929251956148,-0.004642656943396348,-0.004650265230471186,-0.004886436561828909,0.4448482942497636,0.26974044691338317,0.0063029144382316295,0.007725708746689793,0.01437869288612222,0.015014719031013216,0.004672350732302142,0.0041423533349430035,0.5544627190989716,0.10000000000000003,0.07777777777777779,0.06666666666666668,0.06666666666666668,0.03333333333333334,0.04444444444444445,0.022222222222222227,0.022222222222222227,0.04444444444444445,0.022222222222222227,0.18205128205128196,0.7062146892655368,0.6587926509186351
assessment,WULF,31,10,1,4,4,27,1.0,0.8064516129032258,0.22580645161290322,0.8709677419354838,0.12903225806451613,0.006399085295833909,0.004701466995959839,0.012652577482293495,0.012723167679914056,-0.006253492186459586,-0.008021700683954214,-0.007459739811832945,0.5009163065510747,0.36952016304968455,0.01359662264244766,0.02275258598788671,0.033168144968806525,0.033168144968806525,0.010252454517531215,0.008871929795549124,0.6419039811679622,0.12903225806451613,0.0967741935483871,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.14715821812595986,0.5258064516129033,-0.31720430107526876
stress,AAL,39,19,1,4,5,34,1.0,0.5128205128205128,0.10256410256410256,0.8717948717948716,0.12820512820512814,0.0022337292938176528,0.0021175000933496327,0.004820140516731433,0.004599364741001664,-0.0025864112229137814,-0.0027925124512018866,-0.0026748097573375132,0.49037162399065365,0.3761427049932101,0.0047252754948506745,0.0059040042906531,0.006499860387907707,0.006499860387907707,0.003633655547930723,0.0033251137939075133,0.6227110321114273,0.12820512820512814,0.1025641025641025,0.05128205128205125,0.025641025641025626,0.025641025641025626,0.0,0.0,0.0,0.0,0.0,0.06068376068376058,1.0,1.0
stress,AAOI,40,15,1,4,3,37,1.0,0.45,0.2,0.925,0.07500000000000001,0.006757923777093154,0.0059167256007732795,0.013745690937954951,0.01568821035906815,-0.0069877671608618,-0.007633235132060856,-0.007711550960338146,0.47097287135198806,0.40303569439705844,0.011552144548402143,0.017195266479756385,0.04082746771308721,0.04082746771308721,0.009892496453656063,0.008976144498455555,0.5628781410179484,0.07500000000000001,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.1854651162790698,0.7849999999999999,0.2321428571428572
stress,APLD,106,28,1,4,10,96,1.0,0.5,0.11320754716981132,0.9056603773584906,0.09433962264150945,0.005756495214191064,0.004697694032104456,0.013320434335735546,0.013415635260401342,-0.0075639391215444815,-0.007904160097974995,-0.007899867185361857,0.4661726630483885,0.339930637495285,0.012444009669606477,0.015150367930058707,0.022084609150194962,0.022127248586922162,0.008764337400426744,0.008306882892164417,0.5552620163253426,0.09433962264150945,0.056603773584905676,0.04716981132075473,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.009433962264150945,0.19071784862285845,0.939203354297694,0.8451406194375223
stress,ASTS,80,24,1,4,4,76,1.0,0.525,0.0875,0.95,0.05,0.0047274338883179735,0.00366737678193159,0.011074004386737358,0.010407713805800701,-0.006346570498419387,-0.006588808372025441,-0.0064414920352396,0.41857691973687716,0.3364724561360696,0.009587985367775411,0.012383002176796214,0.01786376180170481,0.01855288711875877,0.007418541242341093,0.00677665334290441,0.5323789750357754,0.05,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892857142857144,1.0,1.0
stress,CIFR,35,14,1,3,4,31,1.0,0.4857142857142857,0.2,0.8857142857142856,0.11428571428571425,0.006774383329061328,0.0033692756515729047,0.014572151171287764,0.013862165956430875,-0.007797767842226439,-0.00961891035486073,-0.008369133841216634,0.4511324377514184,0.357254035246578,0.020048978663054155,0.022778990726502156,0.031194088196472996,0.031194088196472996,0.010870393508034572,0.00851793979085982,0.5898549081625105,0.11428571428571425,0.11428571428571425,0.05714285714285713,0.0857142857142857,0.05714285714285713,0.0,0.0,0.0,0.0,0.0,0.1707717569786532,1.0,1.0
stress,HIMS,56,22,1,4,4,52,1.0,0.44642857142857145,0.125,0.9285714285714286,0.07142857142857144,0.0032798989019069144,0.0028346213090903825,0.00840742597206927,0.00755701452783739,-0.0051275270701623575,-0.004726930923725925,-0.005196566883110571,0.40699732414795015,0.3458597594818828,0.0066198249744841,0.008094452332843198,0.018287101455673308,0.01876933270741552,0.005137330984010039,0.004387847114938777,0.5108634125929672,0.07142857142857144,0.05357142857142858,0.03571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18556067588325653,1.0,1.0
stress,IONQ,26,12,1,4,2,24,1.0,0.5769230769230769,0.19230769230769232,0.9230769230769231,0.07692307692307691,0.006166655347192327,0.005334749416401162,0.011838465943015011,0.01304377277678735,-0.005671810595822685,-0.0061296220469266504,-0.005911686234412769,0.5239521030946708,0.50416094134129,0.011723638352556697,0.014930121555337501,0.01590780216424156,0.01590780216424156,0.008414155580905979,0.007580875098863032,0.5845616241577954,0.07692307692307691,0.07692307692307691,0.03846153846153846,0.03846153846153846,0.03846153846153846,0.03846153846153846,0.0,0.0,0.03846153846153846,0.0,0.20330291177748794,0.7533444816053512,1.0
stress,IREN,31,10,1,4,0,31,1.0,0.8709677419354839,0.25806451612903225,1.0,0.0,0.007047018186623654,0.006715282191069627,0.015156478566406058,0.015687224640092368,-0.008109460379782408,-0.008967779062249666,-0.008175480550716563,0.4660848054372966,0.4283387107392627,0.012572082340524437,0.01362106760573986,0.014635964268840085,0.014635964268840085,0.010816753530050112,0.010926616245208269,0.5700007439173269,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28306010928961756,1.0,1.0
stress,MARA,43,19,1,4,1,42,1.0,0.5813953488372093,0.13953488372093023,0.9767441860465116,0.02325581395348837,0.002905931553552432,0.002756759738076576,0.00844130760575139,0.008544212082083677,-0.00553537605219896,-0.005629491954678086,-0.005587893156890097,0.3377447001339621,0.29758641045991374,0.006750654819125036,0.007715946671232227,0.009587017486450555,0.009587017486450555,0.0058171525048364035,0.005590815213068415,0.541834209315253,0.02325581395348837,0.02325581395348837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605138195543649,1.0,1.0
stress,MP,14,8,1,2,0,14,1.0,0.7142857142857143,0.35714285714285715,1.0,0.0,0.002458553429933477,0.0015987287660257,0.00619855296221241,0.006027425107166723,-0.0037399995322789353,-0.004231300196600426,-0.0037627484258293555,0.3905787949210175,0.2728515533420078,0.0068762908404847965,0.0068994392333104,0.006906053059832001,0.006906053059832001,0.004259043366794064,0.004145253594141792,0.5360806078578845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28306010928961733,1.0,1.0
stress,MRNA,131,42,1,4,12,119,1.0,0.3969465648854962,0.07633587786259542,0.9083969465648855,0.09160305343511452,0.00322166061090557,0.0027750265578261966,0.00710811359152259,0.007069083634824996,-0.003886452980617019,-0.004175806282065413,-0.0040398491906052545,0.4554342647338822,0.36094372248997797,0.006942553650905165,0.008582090971640333,0.009516413975318086,0.009829992923483171,0.004759716958675722,0.004167123944646368,0.5413443911882067,0.09160305343511452,0.0687022900763359,0.03816793893129772,0.03053435114503817,0.015267175572519085,0.0076335877862595426,0.0,0.0,0.0076335877862595426,0.0,0.10732167774768109,0.8985823336968375,1.0
stress,MSTR,97,30,1,4,10,87,1.0,0.4845360824742268,0.061855670103092786,0.8969072164948453,0.10309278350515466,0.002981713108044235,0.0023954617442283276,0.006050149994379031,0.005890163739788994,-0.003068436886334797,-0.0036006041980677288,-0.003290669076583717,0.49971845611100124,0.41555069586415117,0.005949928578170904,0.007804813949826867,0.009696225761646889,0.010050307157450518,0.00486457929569986,0.004422976474026093,0.6460492748063995,0.10309278350515466,0.11340206185567013,0.06185567010309279,0.030927835051546396,0.02061855670103093,0.030927835051546396,0.0,0.0,0.030927835051546396,0.0,0.19745366458227698,0.7823156225218082,1.0
stress,NVTS,23,12,1,3,3,20,1.0,0.6086956521739131,0.21739130434782608,0.8695652173913043,0.13043478260869568,0.004625933328743037,0.0037444099228256806,0.010917223372913377,0.010687657994922963,-0.0062912900441703425,-0.006139394247346563,-0.006299383937773143,0.44394910491369144,0.37884298980213243,0.009348699400486873,0.01097163926005863,0.01388277143061312,0.01388277143061312,0.0075600097046890115,0.00686748268422223,0.5802963276227994,0.13043478260869568,0.04347826086956522,0.04347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11612606395215086,1.0,1.0
stress,QBTS,31,13,1,3,2,29,1.0,0.5161290322580645,0.16129032258064516,0.9354838709677419,0.06451612903225806,0.00710844564203405,0.006368941106096407,0.014355248026026371,0.015309201412879739,-0.007246802383992328,-0.007553069968751473,-0.0075952821783825085,0.4789794876794861,0.4392401657239539,0.013607508356508877,0.01902179853571019,0.021166303919880784,0.021166303919880784,0.010681968902229758,0.008690884009483505,0.5906341495744227,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.2499283154121863,1.0,1.0
stress,RGTI,84,35,1,4,10,74,1.0,0.40476190476190477,0.07142857142857142,0.880952380952381,0.11904761904761908,0.005676192155717703,0.0039744063967439205,0.011706380954269728,0.011488061803258433,-0.006030188798552023,-0.006499275225948673,-0.00643937599478811,0.4849490476231962,0.3857930786524387,0.014231660065669083,0.01544370630600062,0.02948160474024364,0.034145251405821135,0.009477320481766773,0.008304139968726712,0.6480804883713321,0.11904761904761908,0.130952380952381,0.04761904761904763,0.04761904761904763,0.023809523809523815,0.023809523809523815,0.011904761904761908,0.011904761904761908,0.023809523809523815,0.011904761904761908,0.16234126984126984,0.8451213216313888,0.8231132075471699
stress,RIOT,107,35,1,4,10,97,1.0,0.4672897196261682,0.06542056074766354,0.9065420560747663,0.09345794392523367,0.004585121837364462,0.003779369720786788,0.00927622357568822,0.009016371471483547,-0.004691101738323761,-0.00542023991775306,-0.0050169115341923394,0.49262502511584527,0.3925320131476453,0.009645640839074978,0.010930245656955528,0.019539354299802296,0.020457626758132053,0.007374552862131851,0.006514634639003448,0.6291348337788756,0.09345794392523367,0.10280373831775703,0.046728971962616835,0.046728971962616835,0.01869158878504673,0.009345794392523366,0.0,0.0,0.009345794392523366,0.0,0.1706446201773305,0.9322516763367266,1.0
stress,RIVN,127,35,1,4,15,112,1.0,0.5748031496062992,0.08661417322834646,0.8818897637795275,0.11811023622047247,0.003380678847591365,0.0025216942178853713,0.007057274411032453,0.0065604526433211555,-0.003676595563441089,-0.003933735103447216,-0.0038553884517581087,0.4975912118525279,0.36265737839694495,0.007174415638773896,0.008595013812620693,0.01380476804759604,0.017610199686316722,0.0051420354676691175,0.004615316062427459,0.6039714559263891,0.11811023622047247,0.10236220472440948,0.04724409448818899,0.03149606299212599,0.03149606299212599,0.023622047244094495,0.015748031496062995,0.007874015748031498,0.023622047244094495,0.007874015748031498,0.14543143044619422,0.8356727148236904,0.8854688618468146
stress,SMCI,189,49,1,4,9,180,1.0,0.3386243386243386,0.06349206349206349,0.9523809523809524,0.04761904761904764,0.0029965947871100256,0.0024119518775280314,0.007237641579683826,0.006528909636096127,-0.004241046792573799,-0.004483411762918884,-0.004299812898791827,0.41435520339038784,0.33658823301466395,0.0064216473966716755,0.007484403821104023,0.009851791391936175,0.012002058956417153,0.004681340477729266,0.004254002225817853,0.519410406723658,0.04761904761904764,0.05820105820105822,0.03174603174603175,0.021164021164021166,0.010582010582010583,0.005291005291005292,0.0,0.0,0.005291005291005292,0.0,0.15138592750533053,0.9402532548599964,1.0
stress,SOFI,134,36,1,4,14,120,1.0,0.35074626865671643,0.07462686567164178,0.8955223880597014,0.10447761194029853,0.0029632125860094803,0.0023391170671525565,0.006579596924175456,0.005913328135719886,-0.0036163843381659755,-0.003321011151465021,-0.003539713814168052,0.4807606098772214,0.4037635406126438,0.006212723319115186,0.008329010505604703,0.011389637168423353,0.01249555348735535,0.004716481054491918,0.004178797906388325,0.5998735780441957,0.10447761194029853,0.08955223880597017,0.044776119402985086,0.05970149253731345,0.029850746268656723,0.022388059701492543,0.007462686567164181,0.0,0.022388059701492543,0.0,0.1519326444699577,0.8210790310741375,1.0
stress,WULF,33,14,1,3,3,30,1.0,0.6060606060606061,0.18181818181818182,0.9090909090909091,0.09090909090909091,0.0039351682335112366,0.00361470951050378,0.009080965934669298,0.008629476773488872,-0.005145797701158063,-0.005935868733030621,-0.005479842446498771,0.4254407401022764,0.37499531203271874,0.008603275621408347,0.010889212269702343,0.012775079981304234,0.012775079981304234,0.00668071563431912,0.006363892502359523,0.582714255293793,0.09090909090909091,0.0606060606060606,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403729603729602,1.0,1.0
