period,horizon,selector,deleted_symbol,sessions,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,6,loop_current_regime,NVTS,190,-0.09567365744505052,-0.12486833347380444,0.06659163188797959,-1.9693287492261071,-0.11084597885614744,-0.0005204000600590483
2025,6,loop_current_regime,QBTS,190,-0.08433231907417249,-0.11028204749660231,0.06414638407419371,-1.7893746453819623,-0.11083603214449589,-0.0004554837827591092
2025,6,loop_current_regime,RGTI,190,-0.09486132458144891,-0.12382555318501187,0.06640566490972374,-1.957155764460188,-0.11199625008340863,-0.0005157390074241169
2025,6,loop_current_regime,RIOT,190,-0.10538858642157478,-0.1373155159689563,0.06717360501925321,-2.164838108753691,-0.1244602496513425,-0.0005770634128890776
2025,6,loop_current_regime,RIVN,190,-0.11341026705886792,-0.1475600625977319,0.06926933497241655,-2.269655784357443,-0.12694414906365548,-0.0006238791539632481
2025,6,loop_current_regime,SMCI,190,-0.11143456237438298,-0.14503967196927026,0.0660911341166925,-2.3373648955307624,-0.1282244128168052,-0.0006130122888498911
2025,6,loop_current_regime,SOFI,190,-0.10529758500658759,-0.137199124849555,0.06595085422045104,-2.204133692447169,-0.11854941266645769,-0.0005768432533054274
2025,6,loop_current_regime,WULF,190,-0.10064150688073614,-0.13123883566391592,0.0662769015334571,-2.089177387466432,-0.11242944232694463,-0.0005494611269644359
2025,12,unfiltered,AAL,190,-0.031303866055861884,-0.041305245078708586,0.20241675908232504,-0.10796659826917106,-0.2021116934297943,-8.67232099634483e-05
2025,12,unfiltered,AAOI,190,-0.07282054544846028,-0.09541615207131393,0.203068361694773,-0.3932818250849568,-0.23627089188310824,-0.0003169170472394145
2025,12,unfiltered,APLD,190,-0.07773074001443436,-0.10176441352500742,0.18829939831586584,-0.4763462102878518,-0.22580389408326018,-0.000355935336457323
2025,12,unfiltered,ASTS,190,-0.033462811204280185,-0.04413809327050078,0.19681368561880222,-0.13172877049682366,-0.21313588315304066,-0.00010288105088695713
2025,12,unfiltered,CIFR,190,0.009202635625468192,0.012223889705294644,0.19033798976708258,0.15807246952976367,-0.18198858896277714,0.00011939363526910171
2025,12,unfiltered,HIMS,190,-0.029506726719908616,-0.038945566455914404,0.19687797922625858,-0.10410292822950357,-0.20626642565591125,-8.133164341809876e-05
2025,12,unfiltered,IONQ,190,-0.011170880595994137,-0.01478904314814633,0.19922582576548678,0.02381498078666459,-0.18817721848487068,1.8827615923858944e-05
2025,12,unfiltered,IREN,190,-0.04828437319778711,-0.0635302346151363,0.18793577689087512,-0.2559808878250361,-0.20348406766441907,-0.00019090463104211948
2025,12,unfiltered,MARA,190,-0.011387054865064972,-0.015074699202441644,0.19818531934857836,0.021630611055124604,-0.1979774115733166,1.701138714152682e-05
2025,12,unfiltered,MP,190,-0.029075508992846832,-0.0383791570155777,0.20049093444727417,-0.09592146978486302,-0.2100108165820046,-7.631502028064746e-05
2025,12,unfiltered,MRNA,190,-0.037015187148496276,-0.04879483038283994,0.20713988179481022,-0.1388633565390821,-0.21895858706399274,-0.0001141434097584764
2025,12,unfiltered,MSTR,190,-0.011398551849514549,-0.015089890926404781,0.20264754288203274,0.025432742152232443,-0.20695654608845004,2.0451915499611922e-05
2025,12,unfiltered,NVTS,190,-0.013350961904157077,-0.017668902572746448,0.19546681564025067,0.0056842530392317075,-0.19266701831988453,4.409058892349359e-06
2025,12,unfiltered,QBTS,190,0.01223953439598957,0.016265816973265235,0.19340301121002748,0.17919730067566955,-0.18827172756520028,0.00013752895853723482
2025,12,unfiltered,RGTI,190,-0.005993048409538071,-0.007940891927522009,0.19646157716557736,0.056815545272991236,-0.1884673395415214,4.429393504704016e-05
2025,12,unfiltered,RIOT,190,-0.02272085530527379,-0.030022740497881006,0.19975246353355328,-0.05362038319769906,-0.21139274528090968,-4.25031890450537e-05
2025,12,unfiltered,RIVN,190,-0.03663280767823074,-0.048293845750739695,0.20433893112880014,-0.140904013915332,-0.2135187842580457,-0.00011425466506038301
2025,12,unfiltered,SMCI,190,-0.02135888105460204,-0.02822942183733035,0.2033134826383971,-0.04009638288298596,-0.20671852936407997,-3.234974303627971e-05
2025,12,unfiltered,SOFI,190,-0.03018325173273595,-0.039834024347762065,0.19869820952363457,-0.10601272780226505,-0.20957758617087197,-8.358944127391467e-05
2025,12,unfiltered,WULF,190,-0.011748459692908497,-0.015552219662159361,0.18855275457402648,0.010232659722081896,-0.19378676783995064,7.656334036576324e-06
